	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
HF920633	25.0	25.0	25.0	88.0	25.0	25.0	32.0	25.0	25.0	25.0	0.0	79.0	25.0	109.0	25.0	25.0	33.0	45.0	48.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	34.0	25.0	25.0	26.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	32.0	25.0	25.0	25.0	25.0	25.0	26.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	23.0	25.0	25.0	25.0	25.0	25.0	25.0
HF920637	23.0	23.0	23.0	124.0	23.0	23.0	28.0	23.0	23.0	23.0	79.0	0.0	23.0	74.0	23.0	23.0	29.0	39.0	47.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	24.0	30.0	23.0	23.0	25.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	28.0	23.0	23.0	23.0	23.0	23.0	25.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	21.0	23.0	23.0	23.0	23.0	23.0	23.0
KC244182	113.0	111.0	118.0	24.0	113.0	118.0	26.0	113.0	118.0	110.0	25.0	23.0	0.0	23.0	114.0	118.0	27.0	22.0	23.0	112.0	113.0	118.0	118.0	118.0	115.0	117.0	112.0	65.0	28.0	112.0	111.0	66.0	113.0	114.0	114.0	117.0	113.0	114.0	113.0	112.0	113.0	113.0	113.0	117.0	114.0	113.0	113.0	112.0	113.0	113.0	114.0	27.0	118.0	118.0	115.0	117.0	117.0	65.0	118.0	113.0	118.0	116.0	115.0	113.0	111.0	110.0	113.0	111.0	113.0	113.0	112.0	89.0
KF938901	23.0	23.0	23.0	77.0	23.0	23.0	29.0	23.0	23.0	23.0	109.0	74.0	23.0	0.0	23.0	23.0	31.0	42.0	46.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	32.0	23.0	23.0	24.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	29.0	23.0	23.0	23.0	23.0	23.0	24.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	22.0	23.0	23.0	23.0	23.0	23.0	23.0
KT781098	120.0	117.0	117.0	24.0	120.0	117.0	26.0	112.0	117.0	110.0	25.0	23.0	114.0	23.0	0.0	116.0	27.0	22.0	23.0	115.0	116.0	116.0	117.0	116.0	121.0	115.0	117.0	68.0	29.0	119.0	118.0	69.0	115.0	120.0	118.0	115.0	119.0	121.0	120.0	118.0	118.0	120.0	120.0	115.0	121.0	120.0	120.0	119.0	120.0	120.0	121.0	26.0	117.0	116.0	113.0	115.0	115.0	68.0	116.0	120.0	116.0	113.0	119.0	120.0	113.0	117.0	120.0	117.0	119.0	119.0	117.0	93.0
KT804738	115.0	113.0	120.0	24.0	115.0	120.0	26.0	115.0	120.0	111.0	25.0	23.0	118.0	23.0	116.0	0.0	27.0	22.0	23.0	114.0	115.0	120.0	120.0	120.0	117.0	119.0	114.0	65.0	28.0	114.0	113.0	66.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	27.0	120.0	120.0	117.0	119.0	119.0	65.0	120.0	115.0	120.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0	90.0
KX643370	27.0	27.0	27.0	27.0	27.0	27.0	42.0	27.0	27.0	26.0	33.0	29.0	27.0	31.0	27.0	27.0	0.0	24.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	29.0	126.0	27.0	27.0	30.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	41.0	27.0	27.0	27.0	27.0	27.0	30.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	25.0	27.0	27.0	27.0	27.0	27.0	27.0
LS484712	22.0	22.0	22.0	38.0	22.0	22.0	23.0	22.0	22.0	22.0	45.0	39.0	22.0	42.0	22.0	22.0	24.0	0.0	28.0	22.0	22.0	22.0	22.0	22.0	22.0	21.0	22.0	21.0	25.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	23.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	20.0	22.0	22.0	22.0	22.0	22.0	22.0
MF599468	23.0	23.0	23.0	51.0	23.0	23.0	28.0	23.0	23.0	23.0	48.0	47.0	23.0	46.0	23.0	23.0	27.0	28.0	0.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	22.0	28.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	26.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	21.0	23.0	23.0	23.0	23.0	23.0	23.0
MG570131	114.0	113.0	115.0	24.0	115.0	115.0	26.0	110.0	115.0	110.0	25.0	23.0	112.0	23.0	115.0	114.0	27.0	22.0	23.0	0.0	117.0	114.0	115.0	114.0	115.0	113.0	114.0	66.0	28.0	113.0	112.0	67.0	111.0	114.0	114.0	113.0	114.0	115.0	114.0	113.0	114.0	114.0	114.0	113.0	115.0	114.0	114.0	113.0	114.0	114.0	115.0	27.0	115.0	114.0	111.0	113.0	113.0	66.0	114.0	114.0	114.0	111.0	115.0	114.0	113.0	111.0	114.0	112.0	114.0	114.0	112.0	92.0
MG570132	115.0	114.0	116.0	24.0	115.0	116.0	26.0	111.0	116.0	110.0	25.0	23.0	113.0	23.0	116.0	115.0	27.0	22.0	23.0	117.0	0.0	115.0	116.0	115.0	116.0	114.0	114.0	66.0	28.0	114.0	113.0	67.0	112.0	115.0	115.0	114.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	114.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	27.0	116.0	115.0	112.0	114.0	114.0	66.0	115.0	115.0	115.0	112.0	116.0	115.0	114.0	112.0	115.0	113.0	115.0	115.0	113.0	93.0
MK098185	115.0	113.0	120.0	24.0	115.0	120.0	26.0	115.0	120.0	111.0	25.0	23.0	118.0	23.0	116.0	120.0	27.0	22.0	23.0	114.0	115.0	0.0	120.0	120.0	117.0	119.0	114.0	65.0	28.0	114.0	113.0	66.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	27.0	120.0	120.0	117.0	119.0	119.0	65.0	120.0	115.0	120.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0	90.0
MK098186	116.0	114.0	121.0	24.0	116.0	121.0	26.0	115.0	121.0	112.0	25.0	23.0	118.0	23.0	117.0	120.0	27.0	22.0	23.0	115.0	116.0	120.0	0.0	120.0	118.0	119.0	115.0	65.0	28.0	115.0	114.0	66.0	116.0	117.0	117.0	119.0	116.0	117.0	116.0	115.0	116.0	116.0	116.0	119.0	117.0	116.0	116.0	115.0	116.0	116.0	117.0	27.0	121.0	120.0	117.0	119.0	119.0	65.0	120.0	116.0	120.0	117.0	118.0	116.0	114.0	113.0	116.0	114.0	116.0	116.0	114.0	91.0
MK098187	115.0	113.0	120.0	24.0	115.0	120.0	26.0	115.0	120.0	111.0	25.0	23.0	118.0	23.0	116.0	120.0	27.0	22.0	23.0	114.0	115.0	120.0	120.0	0.0	117.0	119.0	114.0	65.0	28.0	114.0	113.0	66.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	27.0	120.0	120.0	117.0	119.0	119.0	65.0	120.0	115.0	120.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0	90.0
MK689685	120.0	117.0	118.0	24.0	120.0	118.0	26.0	113.0	118.0	111.0	25.0	23.0	115.0	23.0	121.0	117.0	27.0	22.0	23.0	115.0	116.0	117.0	118.0	117.0	0.0	116.0	117.0	68.0	29.0	119.0	118.0	69.0	116.0	121.0	119.0	116.0	119.0	121.0	120.0	118.0	118.0	120.0	120.0	116.0	121.0	120.0	120.0	119.0	120.0	120.0	121.0	26.0	118.0	117.0	114.0	116.0	116.0	68.0	117.0	120.0	117.0	114.0	120.0	120.0	113.0	117.0	120.0	117.0	119.0	119.0	117.0	93.0
MK689686	114.0	112.0	119.0	24.0	114.0	119.0	26.0	114.0	119.0	110.0	25.0	23.0	117.0	23.0	115.0	119.0	27.0	21.0	23.0	113.0	114.0	119.0	119.0	119.0	116.0	0.0	113.0	65.0	28.0	113.0	112.0	66.0	114.0	115.0	115.0	118.0	114.0	115.0	114.0	113.0	114.0	114.0	114.0	119.0	115.0	114.0	114.0	113.0	114.0	114.0	115.0	27.0	119.0	119.0	116.0	118.0	118.0	65.0	119.0	114.0	119.0	116.0	116.0	114.0	112.0	111.0	114.0	112.0	114.0	114.0	112.0	89.0
MN432490	117.0	114.0	115.0	24.0	117.0	115.0	26.0	111.0	115.0	108.0	25.0	23.0	112.0	23.0	117.0	114.0	27.0	22.0	23.0	114.0	114.0	114.0	115.0	114.0	117.0	113.0	0.0	67.0	29.0	115.0	114.0	68.0	114.0	116.0	117.0	114.0	116.0	117.0	117.0	116.0	118.0	117.0	117.0	114.0	117.0	117.0	117.0	116.0	116.0	117.0	117.0	27.0	115.0	114.0	111.0	114.0	113.0	67.0	114.0	117.0	114.0	112.0	118.0	116.0	113.0	113.0	116.0	113.0	116.0	117.0	116.0	90.0
MN562489	67.0	65.0	65.0	26.0	68.0	65.0	26.0	64.0	65.0	63.0	25.0	24.0	65.0	23.0	68.0	65.0	29.0	21.0	22.0	66.0	66.0	65.0	65.0	65.0	68.0	65.0	67.0	0.0	31.0	67.0	67.0	130.0	64.0	68.0	68.0	65.0	67.0	68.0	68.0	67.0	67.0	68.0	68.0	65.0	68.0	68.0	68.0	67.0	68.0	68.0	68.0	27.0	65.0	65.0	64.0	65.0	64.0	129.0	65.0	68.0	65.0	64.0	67.0	67.0	65.0	66.0	67.0	66.0	67.0	66.0	67.0	62.0
MN803438	29.0	29.0	28.0	28.0	29.0	28.0	42.0	28.0	28.0	27.0	34.0	30.0	28.0	32.0	29.0	28.0	126.0	25.0	28.0	28.0	28.0	28.0	28.0	28.0	29.0	28.0	29.0	31.0	0.0	29.0	29.0	32.0	28.0	29.0	29.0	28.0	28.0	29.0	29.0	29.0	29.0	29.0	29.0	28.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	40.0	28.0	28.0	28.0	28.0	28.0	32.0	28.0	29.0	28.0	28.0	29.0	29.0	28.0	27.0	29.0	28.0	28.0	29.0	29.0	28.0
MT128666	119.0	116.0	115.0	24.0	118.0	115.0	26.0	110.0	115.0	108.0	25.0	23.0	112.0	23.0	119.0	114.0	27.0	22.0	23.0	113.0	114.0	114.0	115.0	114.0	119.0	113.0	115.0	67.0	29.0	0.0	118.0	68.0	113.0	118.0	116.0	113.0	117.0	119.0	118.0	117.0	116.0	118.0	118.0	113.0	119.0	118.0	118.0	118.0	118.0	118.0	119.0	26.0	115.0	114.0	111.0	113.0	113.0	67.0	114.0	118.0	114.0	111.0	117.0	119.0	111.0	115.0	119.0	117.0	117.0	118.0	115.0	91.0
MT128667	118.0	115.0	114.0	24.0	117.0	114.0	26.0	110.0	114.0	107.0	25.0	23.0	111.0	23.0	118.0	113.0	27.0	22.0	23.0	112.0	113.0	113.0	114.0	113.0	118.0	112.0	114.0	67.0	29.0	118.0	0.0	68.0	112.0	118.0	115.0	112.0	116.0	118.0	117.0	116.0	115.0	117.0	117.0	112.0	118.0	117.0	117.0	117.0	117.0	117.0	118.0	26.0	114.0	113.0	110.0	112.0	112.0	67.0	113.0	117.0	113.0	110.0	116.0	118.0	110.0	114.0	118.0	117.0	116.0	117.0	114.0	90.0
MT521409	68.0	66.0	66.0	27.0	69.0	66.0	27.0	65.0	66.0	64.0	26.0	25.0	66.0	24.0	69.0	66.0	30.0	22.0	23.0	67.0	67.0	66.0	66.0	66.0	69.0	66.0	68.0	130.0	32.0	68.0	68.0	0.0	65.0	69.0	69.0	66.0	68.0	69.0	69.0	68.0	68.0	69.0	69.0	66.0	69.0	69.0	69.0	68.0	69.0	69.0	69.0	28.0	66.0	66.0	65.0	66.0	65.0	130.0	66.0	69.0	66.0	65.0	68.0	68.0	66.0	67.0	68.0	67.0	68.0	67.0	68.0	64.0
MT798582	114.0	112.0	116.0	24.0	114.0	116.0	26.0	111.0	116.0	108.0	25.0	23.0	113.0	23.0	115.0	115.0	27.0	22.0	23.0	111.0	112.0	115.0	116.0	115.0	116.0	114.0	114.0	64.0	28.0	113.0	112.0	65.0	0.0	115.0	115.0	115.0	115.0	115.0	115.0	114.0	115.0	115.0	115.0	115.0	115.0	115.0	115.0	114.0	114.0	115.0	115.0	26.0	116.0	115.0	112.0	115.0	114.0	64.0	115.0	115.0	115.0	113.0	116.0	114.0	110.0	111.0	114.0	112.0	115.0	114.0	113.0	89.0
MT926123	119.0	116.0	117.0	24.0	119.0	117.0	26.0	113.0	117.0	110.0	25.0	23.0	114.0	23.0	120.0	116.0	27.0	22.0	23.0	114.0	115.0	116.0	117.0	116.0	121.0	115.0	116.0	68.0	29.0	118.0	118.0	69.0	115.0	0.0	118.0	115.0	118.0	120.0	119.0	117.0	117.0	119.0	119.0	115.0	120.0	119.0	119.0	118.0	119.0	119.0	120.0	26.0	117.0	116.0	113.0	115.0	115.0	68.0	116.0	119.0	116.0	113.0	119.0	119.0	112.0	116.0	119.0	117.0	118.0	118.0	116.0	92.0
MT986830	118.0	115.0	117.0	24.0	117.0	117.0	26.0	112.0	117.0	109.0	25.0	23.0	114.0	23.0	118.0	116.0	27.0	22.0	23.0	114.0	115.0	116.0	117.0	116.0	119.0	115.0	117.0	68.0	29.0	116.0	115.0	69.0	115.0	118.0	0.0	116.0	117.0	118.0	118.0	117.0	118.0	118.0	118.0	116.0	118.0	118.0	118.0	117.0	117.0	118.0	118.0	27.0	117.0	116.0	113.0	116.0	115.0	68.0	116.0	118.0	116.0	114.0	119.0	117.0	113.0	114.0	117.0	114.0	117.0	117.0	116.0	92.0
MW139932	114.0	112.0	119.0	24.0	114.0	119.0	26.0	114.0	119.0	110.0	25.0	23.0	117.0	23.0	115.0	119.0	27.0	22.0	23.0	113.0	114.0	119.0	119.0	119.0	116.0	118.0	114.0	65.0	28.0	113.0	112.0	66.0	115.0	115.0	116.0	0.0	115.0	115.0	115.0	114.0	115.0	115.0	115.0	119.0	115.0	115.0	115.0	114.0	114.0	115.0	115.0	27.0	119.0	119.0	116.0	119.0	118.0	65.0	119.0	115.0	119.0	117.0	116.0	114.0	113.0	111.0	114.0	112.0	115.0	114.0	113.0	89.0
MW273353	118.0	115.0	116.0	24.0	118.0	116.0	26.0	111.0	116.0	109.0	25.0	23.0	113.0	23.0	119.0	115.0	27.0	22.0	23.0	114.0	115.0	115.0	116.0	115.0	119.0	114.0	116.0	67.0	28.0	117.0	116.0	68.0	115.0	118.0	117.0	115.0	0.0	119.0	119.0	117.0	117.0	119.0	119.0	115.0	119.0	119.0	119.0	118.0	118.0	119.0	119.0	26.0	116.0	115.0	112.0	115.0	114.0	67.0	115.0	119.0	115.0	113.0	117.0	118.0	113.0	115.0	118.0	116.0	119.0	117.0	116.0	92.0
MW273354	118.0	117.0	117.0	24.0	120.0	117.0	26.0	112.0	117.0	110.0	25.0	23.0	114.0	23.0	121.0	116.0	27.0	22.0	23.0	115.0	116.0	116.0	117.0	116.0	121.0	115.0	117.0	68.0	29.0	119.0	118.0	69.0	115.0	120.0	118.0	115.0	119.0	0.0	120.0	118.0	118.0	120.0	120.0	115.0	121.0	120.0	120.0	119.0	120.0	120.0	121.0	26.0	117.0	116.0	113.0	115.0	115.0	68.0	116.0	120.0	116.0	113.0	119.0	120.0	113.0	117.0	120.0	117.0	119.0	119.0	117.0	93.0
MW883593	119.0	116.0	116.0	24.0	119.0	116.0	26.0	111.0	116.0	109.0	25.0	23.0	113.0	23.0	120.0	115.0	27.0	22.0	23.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	68.0	29.0	118.0	117.0	69.0	115.0	119.0	118.0	115.0	119.0	120.0	0.0	118.0	118.0	120.0	120.0	115.0	120.0	120.0	120.0	119.0	119.0	120.0	120.0	26.0	116.0	115.0	112.0	115.0	114.0	68.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0	92.0
MW883594	119.0	116.0	115.0	24.0	117.0	115.0	26.0	110.0	115.0	107.0	25.0	23.0	112.0	23.0	118.0	114.0	27.0	22.0	23.0	113.0	114.0	114.0	115.0	114.0	118.0	113.0	116.0	67.0	29.0	117.0	116.0	68.0	114.0	117.0	117.0	114.0	117.0	118.0	118.0	0.0	117.0	118.0	118.0	114.0	118.0	118.0	118.0	118.0	117.0	118.0	118.0	26.0	115.0	114.0	111.0	114.0	113.0	67.0	114.0	118.0	114.0	112.0	117.0	118.0	112.0	114.0	118.0	115.0	117.0	117.0	115.0	91.0
MW883595	118.0	115.0	116.0	24.0	117.0	116.0	26.0	112.0	116.0	108.0	25.0	23.0	113.0	23.0	118.0	115.0	27.0	22.0	23.0	114.0	115.0	115.0	116.0	115.0	118.0	114.0	118.0	67.0	29.0	116.0	115.0	68.0	115.0	117.0	118.0	115.0	117.0	118.0	118.0	117.0	0.0	118.0	118.0	115.0	118.0	118.0	118.0	117.0	117.0	118.0	118.0	27.0	116.0	115.0	112.0	115.0	114.0	67.0	115.0	118.0	115.0	113.0	119.0	117.0	113.0	114.0	117.0	114.0	117.0	118.0	117.0	91.0
MW883596	119.0	116.0	116.0	24.0	119.0	116.0	26.0	111.0	116.0	109.0	25.0	23.0	113.0	23.0	120.0	115.0	27.0	22.0	23.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	68.0	29.0	118.0	117.0	69.0	115.0	119.0	118.0	115.0	119.0	120.0	120.0	118.0	118.0	0.0	120.0	115.0	120.0	120.0	120.0	119.0	119.0	120.0	120.0	26.0	116.0	115.0	112.0	115.0	114.0	68.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0	92.0
MW883597	119.0	116.0	116.0	24.0	119.0	116.0	26.0	111.0	116.0	109.0	25.0	23.0	113.0	23.0	120.0	115.0	27.0	22.0	23.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	68.0	29.0	118.0	117.0	69.0	115.0	119.0	118.0	115.0	119.0	120.0	120.0	118.0	118.0	120.0	0.0	115.0	120.0	120.0	120.0	119.0	119.0	120.0	120.0	26.0	116.0	115.0	112.0	115.0	114.0	68.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0	92.0
MW883598	114.0	112.0	119.0	24.0	114.0	119.0	26.0	114.0	119.0	110.0	25.0	23.0	117.0	23.0	115.0	119.0	27.0	22.0	23.0	113.0	114.0	119.0	119.0	119.0	116.0	119.0	114.0	65.0	28.0	113.0	112.0	66.0	115.0	115.0	116.0	119.0	115.0	115.0	115.0	114.0	115.0	115.0	115.0	0.0	115.0	115.0	115.0	114.0	114.0	115.0	115.0	27.0	119.0	119.0	116.0	119.0	118.0	65.0	119.0	115.0	119.0	117.0	116.0	114.0	113.0	111.0	114.0	112.0	115.0	114.0	113.0	89.0
MW883599	120.0	117.0	117.0	24.0	120.0	117.0	26.0	112.0	117.0	110.0	25.0	23.0	114.0	23.0	121.0	116.0	27.0	22.0	23.0	115.0	116.0	116.0	117.0	116.0	121.0	115.0	117.0	68.0	29.0	119.0	118.0	69.0	115.0	120.0	118.0	115.0	119.0	121.0	120.0	118.0	118.0	120.0	120.0	115.0	0.0	120.0	120.0	119.0	120.0	120.0	121.0	26.0	117.0	116.0	113.0	115.0	115.0	68.0	116.0	120.0	116.0	113.0	119.0	120.0	113.0	117.0	120.0	117.0	119.0	119.0	117.0	93.0
