	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK637631	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
HF920633	25.0	25.0	25.0	114.0	25.0	25.0	33.0	25.0	25.0	25.0	0.0	102.0	25.0	126.0	25.0	25.0	35.0	49.0	58.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	26.0	35.0	25.0	25.0	26.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	33.0	25.0	25.0	25.0	25.0	25.0	26.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	23.0	25.0	25.0	25.0	25.0	25.0	25.0
HF920637	28.0	28.0	28.0	151.0	28.0	28.0	33.0	28.0	28.0	28.0	102.0	0.0	28.0	89.0	28.0	28.0	37.0	50.0	68.0	28.0	28.0	28.0	28.0	28.0	29.0	28.0	28.0	28.0	30.0	37.0	28.0	28.0	30.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	33.0	28.0	28.0	28.0	28.0	28.0	30.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	26.0	28.0	28.0	28.0	28.0	28.0	28.0
KC244182	113.0	111.0	118.0	25.0	113.0	118.0	27.0	113.0	118.0	110.0	25.0	25.0	0.0	24.0	114.0	118.0	28.0	22.0	24.0	112.0	113.0	118.0	118.0	118.0	63.0	115.0	117.0	112.0	66.0	28.0	112.0	111.0	66.0	113.0	114.0	114.0	117.0	113.0	114.0	113.0	112.0	113.0	113.0	113.0	117.0	114.0	113.0	113.0	112.0	113.0	113.0	114.0	28.0	118.0	118.0	115.0	117.0	117.0	66.0	118.0	113.0	118.0	116.0	115.0	113.0	111.0	110.0	113.0	111.0	113.0	113.0	112.0	90.0
KF938901	25.0	25.0	25.0	99.0	25.0	25.0	32.0	25.0	25.0	25.0	127.0	88.0	25.0	0.0	25.0	25.0	34.0	48.0	52.0	25.0	25.0	25.0	25.0	25.0	24.0	25.0	25.0	25.0	26.0	34.0	25.0	25.0	26.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	32.0	25.0	25.0	25.0	25.0	25.0	26.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	22.0	25.0	25.0	25.0	25.0	25.0	25.0
KT781098	120.0	117.0	117.0	25.0	120.0	117.0	27.0	112.0	117.0	110.0	25.0	25.0	114.0	24.0	0.0	116.0	29.0	22.0	24.0	115.0	116.0	116.0	117.0	116.0	65.0	121.0	115.0	117.0	69.0	29.0	119.0	118.0	69.0	115.0	120.0	118.0	115.0	119.0	121.0	120.0	118.0	118.0	120.0	120.0	115.0	121.0	120.0	120.0	119.0	120.0	120.0	121.0	27.0	117.0	117.0	113.0	115.0	115.0	69.0	116.0	120.0	116.0	113.0	119.0	120.0	113.0	117.0	120.0	117.0	119.0	119.0	117.0	94.0
KT804738	115.0	113.0	120.0	25.0	115.0	120.0	27.0	115.0	120.0	111.0	25.0	25.0	118.0	24.0	116.0	0.0	28.0	22.0	24.0	114.0	115.0	120.0	120.0	120.0	63.0	117.0	119.0	114.0	66.0	28.0	114.0	113.0	66.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	28.0	120.0	120.0	117.0	119.0	119.0	66.0	120.0	115.0	120.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0	91.0
KX643370	31.0	31.0	29.0	38.0	31.0	29.0	52.0	29.0	29.0	28.0	39.0	40.0	29.0	34.0	31.0	29.0	0.0	26.0	39.0	29.0	29.0	29.0	29.0	29.0	34.0	31.0	29.0	31.0	38.0	136.0	31.0	31.0	38.0	29.0	31.0	31.0	29.0	29.0	31.0	31.0	31.0	31.0	31.0	31.0	29.0	31.0	31.0	31.0	31.0	31.0	31.0	31.0	48.0	29.0	29.0	29.0	29.0	29.0	38.0	29.0	31.0	29.0	29.0	31.0	31.0	29.0	29.0	31.0	29.0	29.0	31.0	31.0	29.0
LS484712	22.0	22.0	22.0	43.0	22.0	22.0	24.0	22.0	22.0	22.0	46.0	43.0	22.0	44.0	22.0	22.0	25.0	0.0	29.0	22.0	22.0	22.0	22.0	22.0	20.0	22.0	21.0	22.0	22.0	25.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	24.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	20.0	22.0	22.0	22.0	22.0	22.0	22.0
MF599468	25.0	25.0	25.0	74.0	25.0	25.0	36.0	25.0	25.0	25.0	69.0	72.0	25.0	52.0	25.0	25.0	36.0	30.0	0.0	25.0	25.0	25.0	25.0	25.0	41.0	25.0	25.0	25.0	25.0	36.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	34.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	23.0	25.0	25.0	25.0	25.0	25.0	25.0
MG570131	114.0	113.0	115.0	25.0	115.0	115.0	27.0	110.0	115.0	110.0	25.0	25.0	112.0	24.0	115.0	114.0	28.0	22.0	24.0	0.0	117.0	114.0	115.0	114.0	64.0	115.0	113.0	114.0	67.0	28.0	113.0	112.0	67.0	111.0	114.0	114.0	113.0	114.0	115.0	114.0	113.0	114.0	114.0	114.0	113.0	115.0	114.0	114.0	113.0	114.0	114.0	115.0	28.0	115.0	114.0	111.0	113.0	113.0	67.0	114.0	114.0	114.0	111.0	115.0	114.0	113.0	111.0	114.0	112.0	114.0	114.0	112.0	93.0
MG570132	115.0	114.0	116.0	25.0	115.0	116.0	27.0	111.0	116.0	110.0	25.0	25.0	113.0	24.0	116.0	115.0	28.0	22.0	24.0	117.0	0.0	115.0	116.0	115.0	64.0	116.0	114.0	114.0	67.0	28.0	114.0	113.0	67.0	112.0	115.0	115.0	114.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	114.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	28.0	116.0	115.0	112.0	114.0	114.0	67.0	115.0	115.0	115.0	112.0	116.0	115.0	114.0	112.0	115.0	113.0	115.0	115.0	113.0	94.0
MK098185	115.0	113.0	120.0	25.0	115.0	120.0	27.0	115.0	120.0	111.0	25.0	25.0	118.0	24.0	116.0	120.0	28.0	22.0	24.0	114.0	115.0	0.0	120.0	120.0	63.0	117.0	119.0	114.0	66.0	28.0	114.0	113.0	66.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	28.0	120.0	120.0	117.0	119.0	119.0	66.0	120.0	115.0	120.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0	91.0
MK098186	116.0	114.0	121.0	25.0	116.0	121.0	27.0	115.0	121.0	112.0	25.0	25.0	118.0	24.0	117.0	120.0	28.0	22.0	24.0	115.0	116.0	120.0	0.0	120.0	63.0	118.0	119.0	115.0	66.0	28.0	115.0	114.0	66.0	116.0	117.0	117.0	119.0	116.0	117.0	116.0	115.0	116.0	116.0	116.0	119.0	117.0	116.0	116.0	115.0	116.0	116.0	117.0	28.0	121.0	120.0	117.0	119.0	119.0	66.0	120.0	116.0	120.0	117.0	118.0	116.0	114.0	113.0	116.0	114.0	116.0	116.0	114.0	92.0
MK098187	115.0	113.0	120.0	25.0	115.0	120.0	27.0	115.0	120.0	111.0	25.0	25.0	118.0	24.0	116.0	120.0	28.0	22.0	24.0	114.0	115.0	120.0	120.0	0.0	63.0	117.0	119.0	114.0	66.0	28.0	114.0	113.0	66.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	28.0	120.0	120.0	117.0	119.0	119.0	66.0	120.0	115.0	120.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0	91.0
MK637631	66.0	65.0	65.0	27.0	67.0	65.0	27.0	64.0	65.0	63.0	25.0	26.0	65.0	23.0	67.0	65.0	32.0	20.0	25.0	66.0	66.0	65.0	65.0	65.0	0.0	67.0	65.0	67.0	99.0	31.0	66.0	66.0	99.0	63.0	67.0	68.0	65.0	66.0	67.0	67.0	66.0	67.0	67.0	67.0	65.0	67.0	67.0	67.0	66.0	67.0	67.0	67.0	29.0	65.0	65.0	64.0	65.0	64.0	100.0	65.0	67.0	65.0	64.0	67.0	66.0	66.0	65.0	66.0	65.0	66.0	66.0	67.0	63.0
MK689685	120.0	117.0	118.0	25.0	120.0	118.0	27.0	113.0	118.0	111.0	25.0	25.0	115.0	24.0	121.0	117.0	29.0	22.0	24.0	115.0	116.0	117.0	118.0	117.0	65.0	0.0	116.0	117.0	69.0	29.0	119.0	118.0	69.0	116.0	121.0	119.0	116.0	119.0	121.0	120.0	118.0	118.0	120.0	120.0	116.0	121.0	120.0	120.0	119.0	120.0	120.0	121.0	27.0	118.0	118.0	114.0	116.0	116.0	69.0	117.0	120.0	117.0	114.0	120.0	120.0	113.0	117.0	120.0	117.0	119.0	119.0	117.0	94.0
MK689686	114.0	112.0	119.0	25.0	114.0	119.0	27.0	114.0	119.0	110.0	25.0	25.0	117.0	24.0	115.0	119.0	28.0	21.0	24.0	113.0	114.0	119.0	119.0	119.0	63.0	116.0	0.0	113.0	66.0	28.0	113.0	112.0	66.0	114.0	115.0	115.0	118.0	114.0	115.0	114.0	113.0	114.0	114.0	114.0	119.0	115.0	114.0	114.0	113.0	114.0	114.0	115.0	28.0	119.0	119.0	116.0	118.0	118.0	66.0	119.0	114.0	119.0	116.0	116.0	114.0	112.0	111.0	114.0	112.0	114.0	114.0	112.0	90.0
MN432490	117.0	114.0	115.0	25.0	117.0	115.0	27.0	111.0	115.0	108.0	25.0	25.0	112.0	24.0	117.0	114.0	29.0	22.0	24.0	114.0	114.0	114.0	115.0	114.0	65.0	117.0	113.0	0.0	68.0	29.0	115.0	114.0	68.0	114.0	116.0	117.0	114.0	116.0	117.0	117.0	116.0	118.0	117.0	117.0	114.0	117.0	117.0	117.0	116.0	116.0	117.0	117.0	28.0	115.0	114.0	111.0	114.0	113.0	68.0	114.0	117.0	114.0	112.0	118.0	116.0	113.0	113.0	116.0	113.0	116.0	117.0	116.0	91.0
MN562489	71.0	69.0	69.0	29.0	72.0	69.0	31.0	68.0	69.0	65.0	27.0	28.0	69.0	26.0	72.0	69.0	38.0	23.0	25.0	70.0	70.0	69.0	69.0	69.0	99.0	72.0	69.0	71.0	0.0	36.0	71.0	71.0	132.0	68.0	72.0	72.0	69.0	71.0	72.0	72.0	71.0	71.0	72.0	72.0	69.0	72.0	72.0	72.0	71.0	72.0	72.0	72.0	30.0	69.0	69.0	68.0	69.0	68.0	133.0	69.0	72.0	69.0	68.0	71.0	71.0	69.0	70.0	71.0	70.0	71.0	70.0	71.0	66.0
MN803438	29.0	29.0	28.0	37.0	29.0	28.0	47.0	28.0	28.0	27.0	38.0	39.0	28.0	33.0	29.0	28.0	132.0	25.0	38.0	28.0	28.0	28.0	28.0	28.0	31.0	29.0	28.0	29.0	35.0	0.0	29.0	29.0	35.0	28.0	29.0	29.0	28.0	28.0	29.0	29.0	29.0	29.0	29.0	29.0	28.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	45.0	28.0	28.0	28.0	28.0	28.0	35.0	28.0	29.0	28.0	28.0	29.0	29.0	28.0	27.0	29.0	28.0	28.0	29.0	29.0	28.0
MT128666	119.0	116.0	115.0	25.0	118.0	115.0	27.0	110.0	115.0	108.0	25.0	25.0	112.0	24.0	119.0	114.0	29.0	22.0	24.0	113.0	114.0	114.0	115.0	114.0	64.0	119.0	113.0	115.0	68.0	29.0	0.0	118.0	68.0	113.0	118.0	116.0	113.0	117.0	119.0	118.0	117.0	116.0	118.0	118.0	113.0	119.0	118.0	118.0	118.0	118.0	118.0	119.0	27.0	115.0	115.0	111.0	113.0	113.0	68.0	114.0	118.0	114.0	111.0	117.0	119.0	111.0	115.0	119.0	117.0	117.0	118.0	115.0	92.0
MT128667	118.0	115.0	114.0	25.0	117.0	114.0	27.0	110.0	114.0	107.0	25.0	25.0	111.0	24.0	118.0	113.0	29.0	22.0	24.0	112.0	113.0	113.0	114.0	113.0	64.0	118.0	112.0	114.0	68.0	29.0	118.0	0.0	68.0	112.0	118.0	115.0	112.0	116.0	118.0	117.0	116.0	115.0	117.0	117.0	112.0	118.0	117.0	117.0	117.0	117.0	117.0	118.0	27.0	114.0	114.0	110.0	112.0	112.0	68.0	113.0	117.0	113.0	110.0	116.0	118.0	110.0	114.0	118.0	117.0	116.0	117.0	114.0	91.0
MT521409	70.0	68.0	68.0	28.0	71.0	68.0	30.0	67.0	68.0	64.0	26.0	27.0	68.0	25.0	71.0	68.0	37.0	22.0	24.0	69.0	69.0	68.0	68.0	68.0	98.0	71.0	68.0	70.0	131.0	35.0	70.0	70.0	0.0	67.0	71.0	71.0	68.0	70.0	71.0	71.0	70.0	70.0	71.0	71.0	68.0	71.0	71.0	71.0	70.0	71.0	71.0	71.0	29.0	68.0	68.0	67.0	68.0	67.0	132.0	68.0	71.0	68.0	67.0	70.0	70.0	68.0	69.0	70.0	69.0	70.0	69.0	70.0	66.0
MT798582	114.0	112.0	116.0	25.0	114.0	116.0	27.0	111.0	116.0	108.0	25.0	25.0	113.0	24.0	115.0	115.0	28.0	22.0	24.0	111.0	112.0	115.0	116.0	115.0	61.0	116.0	114.0	114.0	65.0	28.0	113.0	112.0	65.0	0.0	115.0	115.0	115.0	115.0	115.0	115.0	114.0	115.0	115.0	115.0	115.0	115.0	115.0	115.0	114.0	114.0	115.0	115.0	27.0	116.0	115.0	112.0	115.0	114.0	65.0	115.0	115.0	115.0	113.0	116.0	114.0	110.0	111.0	114.0	112.0	115.0	114.0	113.0	90.0
MT926123	119.0	116.0	117.0	25.0	119.0	117.0	27.0	113.0	117.0	110.0	25.0	25.0	114.0	24.0	120.0	116.0	29.0	22.0	24.0	114.0	115.0	116.0	117.0	116.0	65.0	121.0	115.0	116.0	69.0	29.0	118.0	118.0	69.0	115.0	0.0	118.0	115.0	118.0	120.0	119.0	117.0	117.0	119.0	119.0	115.0	120.0	119.0	119.0	118.0	119.0	119.0	120.0	27.0	117.0	117.0	113.0	115.0	115.0	69.0	116.0	119.0	116.0	113.0	119.0	119.0	112.0	116.0	119.0	117.0	118.0	118.0	116.0	93.0
MT986830	118.0	115.0	117.0	25.0	117.0	117.0	27.0	112.0	117.0	109.0	25.0	25.0	114.0	24.0	118.0	116.0	29.0	22.0	24.0	114.0	115.0	116.0	117.0	116.0	66.0	119.0	115.0	117.0	69.0	29.0	116.0	115.0	69.0	115.0	118.0	0.0	116.0	117.0	118.0	118.0	117.0	118.0	118.0	118.0	116.0	118.0	118.0	118.0	117.0	117.0	118.0	118.0	28.0	117.0	116.0	113.0	116.0	115.0	69.0	116.0	118.0	116.0	114.0	119.0	117.0	113.0	114.0	117.0	114.0	117.0	117.0	116.0	93.0
MW139932	114.0	112.0	119.0	25.0	114.0	119.0	27.0	114.0	119.0	110.0	25.0	25.0	117.0	24.0	115.0	119.0	28.0	22.0	24.0	113.0	114.0	119.0	119.0	119.0	63.0	116.0	118.0	114.0	66.0	28.0	113.0	112.0	66.0	115.0	115.0	116.0	0.0	115.0	115.0	115.0	114.0	115.0	115.0	115.0	119.0	115.0	115.0	115.0	114.0	114.0	115.0	115.0	28.0	119.0	119.0	116.0	119.0	118.0	66.0	119.0	115.0	119.0	117.0	116.0	114.0	113.0	111.0	114.0	112.0	115.0	114.0	113.0	90.0
MW273353	118.0	115.0	116.0	25.0	118.0	116.0	27.0	111.0	116.0	109.0	25.0	25.0	113.0	24.0	119.0	115.0	28.0	22.0	24.0	114.0	115.0	115.0	116.0	115.0	64.0	119.0	114.0	116.0	68.0	28.0	117.0	116.0	68.0	115.0	118.0	117.0	115.0	0.0	119.0	119.0	117.0	117.0	119.0	119.0	115.0	119.0	119.0	119.0	118.0	118.0	119.0	119.0	27.0	116.0	116.0	112.0	115.0	114.0	68.0	115.0	119.0	115.0	113.0	117.0	118.0	113.0	115.0	118.0	116.0	119.0	117.0	116.0	93.0
MW273354	120.0	117.0	117.0	25.0	120.0	117.0	27.0	112.0	117.0	110.0	25.0	25.0	114.0	24.0	121.0	116.0	29.0	22.0	24.0	115.0	116.0	116.0	117.0	116.0	65.0	121.0	115.0	117.0	69.0	29.0	119.0	118.0	69.0	115.0	120.0	118.0	115.0	119.0	0.0	120.0	118.0	118.0	120.0	120.0	115.0	121.0	120.0	120.0	119.0	120.0	120.0	121.0	27.0	117.0	117.0	113.0	115.0	115.0	69.0	116.0	120.0	116.0	113.0	119.0	120.0	113.0	117.0	120.0	117.0	119.0	119.0	117.0	94.0
MW883593	119.0	116.0	116.0	25.0	119.0	116.0	27.0	111.0	116.0	109.0	25.0	25.0	113.0	24.0	120.0	115.0	29.0	22.0	24.0	114.0	115.0	115.0	116.0	115.0	65.0	120.0	114.0	117.0	69.0	29.0	118.0	117.0	69.0	115.0	119.0	118.0	115.0	119.0	120.0	0.0	118.0	118.0	120.0	120.0	115.0	120.0	120.0	120.0	119.0	119.0	120.0	120.0	27.0	116.0	116.0	112.0	115.0	114.0	69.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0	93.0
MW883594	119.0	116.0	115.0	25.0	117.0	115.0	27.0	110.0	115.0	107.0	25.0	25.0	112.0	24.0	118.0	114.0	29.0	22.0	24.0	113.0	114.0	114.0	115.0	114.0	64.0	118.0	113.0	116.0	68.0	29.0	117.0	116.0	68.0	114.0	117.0	117.0	114.0	117.0	118.0	118.0	0.0	117.0	118.0	118.0	114.0	118.0	118.0	118.0	118.0	117.0	118.0	118.0	27.0	115.0	114.0	111.0	114.0	113.0	68.0	114.0	118.0	114.0	112.0	117.0	118.0	112.0	114.0	118.0	115.0	117.0	117.0	115.0	92.0
MW883595	118.0	115.0	116.0	25.0	117.0	116.0	27.0	112.0	116.0	108.0	25.0	25.0	113.0	24.0	118.0	115.0	29.0	22.0	24.0	114.0	115.0	115.0	116.0	115.0	65.0	118.0	114.0	118.0	68.0	29.0	116.0	115.0	68.0	115.0	117.0	118.0	115.0	117.0	118.0	118.0	117.0	0.0	118.0	118.0	115.0	118.0	118.0	118.0	117.0	117.0	118.0	118.0	28.0	116.0	115.0	112.0	115.0	114.0	68.0	115.0	118.0	115.0	113.0	119.0	117.0	113.0	114.0	117.0	114.0	117.0	118.0	117.0	92.0
MW883596	119.0	116.0	116.0	25.0	119.0	116.0	27.0	111.0	116.0	109.0	25.0	25.0	113.0	24.0	120.0	115.0	29.0	22.0	24.0	114.0	115.0	115.0	116.0	115.0	65.0	120.0	114.0	117.0	69.0	29.0	118.0	117.0	69.0	115.0	119.0	118.0	115.0	119.0	120.0	120.0	118.0	118.0	0.0	120.0	115.0	120.0	120.0	120.0	119.0	119.0	120.0	120.0	27.0	116.0	116.0	112.0	115.0	114.0	69.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0	93.0
MW883597	119.0	116.0	116.0	25.0	119.0	116.0	27.0	111.0	116.0	109.0	25.0	25.0	113.0	24.0	120.0	115.0	29.0	22.0	24.0	114.0	115.0	115.0	116.0	115.0	65.0	120.0	114.0	117.0	69.0	29.0	118.0	117.0	69.0	115.0	119.0	118.0	115.0	119.0	120.0	120.0	118.0	118.0	120.0	0.0	115.0	120.0	120.0	120.0	119.0	119.0	120.0	120.0	27.0	116.0	116.0	112.0	115.0	114.0	69.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0	93.0
