Orthogroup	MK098187.1	MT926123.1
OG0000075	MK098187.1_00037	MT926123.1_00036
OG0000076	MK098187.1_00040	MT926123.1_00039
OG0000077	MK098187.1_00043	MT926123.1_00042
OG0000078	MK098187.1_00044	MT926123.1_00043
OG0000079	MK098187.1_00048	MT926123.1_00047
OG0000080	MK098187.1_00053	MT926123.1_00052
OG0000081	MK098187.1_00054	MT926123.1_00053
OG0000082	MK098187.1_00055	MT926123.1_00054
OG0000083	MK098187.1_00063	MT926123.1_00064
OG0000084	MK098187.1_00066	MT926123.1_00067
OG0000085	MK098187.1_00069	MT926123.1_00070
OG0000086	MK098187.1_00070	MT926123.1_00071
OG0000087	MK098187.1_00074	MT926123.1_00076
OG0000088	MK098187.1_00075	MT926123.1_00077
OG0000089	MK098187.1_00084	MT926123.1_00087
OG0000090	MK098187.1_00085	MT926123.1_00088
OG0000091	MK098187.1_00097	MT926123.1_00098
OG0000092	MK098187.1_00101	MT926123.1_00102
OG0000093	MK098187.1_00105	MT926123.1_00105
OG0000094	MK098187.1_00108	MT926123.1_00108
OG0000095	MK098187.1_00109	MT926123.1_00109
OG0000096	MK098187.1_00120	MT926123.1_00118
OG0000097	MK098187.1_00003	MT926123.1_00003
OG0000098	MK098187.1_00004	MT926123.1_00004
OG0000099	MK098187.1_00042	MT926123.1_00041
OG0000100	MK098187.1_00046	MT926123.1_00045
OG0000101	MK098187.1_00071	MT926123.1_00072
OG0000102	MK098187.1_00079	MT926123.1_00082
OG0000103	MK098187.1_00102	MT926123.1_00103
OG0000104	MK098187.1_00106	MT926123.1_00106
OG0000105	MK098187.1_00117	MT926123.1_00116
OG0000106	MK098187.1_00031	MT926123.1_00030
OG0000107	MK098187.1_00103	MT926123.1_00104
OG0000108	MK098187.1_00121	MT926123.1_00119
OG0000109	MK098187.1_00072	MT926123.1_00073
OG0000113	MK098187.1_00021	MT926123.1_00021
OG0000114	MK098187.1_00011	MT926123.1_00011
OG0000116	MK098187.1_00067	MT926123.1_00068
OG0000117	MK098187.1_00092	MT926123.1_00094
OG0000123	MK098187.1_00028	MT926123.1_00027
OG0000145	MK098187.1_00027	MT926123.1_00026
