Orthogroup	KT804738.1	MG570132.1
OG0000055	KT804738.1_00108	MG570132.1_00107
OG0000056	KT804738.1_00113	MG570132.1_00112
OG0000057	KT804738.1_00115	MG570132.1_00114
OG0000058	KT804738.1_00002	MG570132.1_00002
OG0000059	KT804738.1_00010	MG570132.1_00011
OG0000060	KT804738.1_00018	MG570132.1_00019
OG0000061	KT804738.1_00087	MG570132.1_00088
OG0000062	KT804738.1_00025	MG570132.1_00028
OG0000063	KT804738.1_00069	MG570132.1_00070
OG0000064	KT804738.1_00017	MG570132.1_00018
OG0000065	KT804738.1_00037	MG570132.1_00039
OG0000066	KT804738.1_00041	MG570132.1_00043
OG0000067	KT804738.1_00045	MG570132.1_00047
OG0000068	KT804738.1_00064	MG570132.1_00066
OG0000069	KT804738.1_00095	MG570132.1_00095
OG0000070	KT804738.1_00097	MG570132.1_00097
OG0000071	KT804738.1_00112	MG570132.1_00111
OG0000072	KT804738.1_00009	MG570132.1_00010
OG0000073	KT804738.1_00011	MG570132.1_00013
OG0000074	KT804738.1_00016	MG570132.1_00017
OG0000075	KT804738.1_00033	MG570132.1_00035
OG0000076	KT804738.1_00036	MG570132.1_00038
OG0000077	KT804738.1_00039	MG570132.1_00041
OG0000078	KT804738.1_00040	MG570132.1_00042
OG0000079	KT804738.1_00044	MG570132.1_00046
OG0000080	KT804738.1_00049	MG570132.1_00051
OG0000081	KT804738.1_00050	MG570132.1_00052
OG0000082	KT804738.1_00051	MG570132.1_00053
OG0000083	KT804738.1_00059	MG570132.1_00062
OG0000084	KT804738.1_00062	MG570132.1_00065
OG0000085	KT804738.1_00065	MG570132.1_00067
OG0000086	KT804738.1_00066	MG570132.1_00068
OG0000087	KT804738.1_00070	MG570132.1_00071
OG0000088	KT804738.1_00071	MG570132.1_00072
OG0000089	KT804738.1_00080	MG570132.1_00081
OG0000090	KT804738.1_00081	MG570132.1_00082
OG0000091	KT804738.1_00094	MG570132.1_00094
OG0000092	KT804738.1_00098	MG570132.1_00098
OG0000093	KT804738.1_00102	MG570132.1_00101
OG0000094	KT804738.1_00105	MG570132.1_00104
OG0000095	KT804738.1_00106	MG570132.1_00105
OG0000096	KT804738.1_00117	MG570132.1_00116
OG0000097	KT804738.1_00003	MG570132.1_00003
OG0000098	KT804738.1_00004	MG570132.1_00004
OG0000099	KT804738.1_00038	MG570132.1_00040
OG0000100	KT804738.1_00042	MG570132.1_00044
OG0000101	KT804738.1_00067	MG570132.1_00069
OG0000102	KT804738.1_00075	MG570132.1_00076
OG0000103	KT804738.1_00099	MG570132.1_00099
OG0000104	KT804738.1_00103	MG570132.1_00102
OG0000105	KT804738.1_00114	MG570132.1_00113
OG0000106	KT804738.1_00027	MG570132.1_00029
OG0000107	KT804738.1_00100	MG570132.1_00100
OG0000108	KT804738.1_00118	MG570132.1_00117
OG0000110	KT804738.1_00116	MG570132.1_00115
OG0000111	KT804738.1_00090	MG570132.1_00090
OG0000112	KT804738.1_00076	MG570132.1_00077
OG0000115	KT804738.1_00052	MG570132.1_00054
OG0000119	KT804738.1_00110	MG570132.1_00109
