Orthogroup	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
OG0000030	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	GQ273492.1_00080 hypothetical protein	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein	MK689686.1_00081 hypothetical protein	MG570131.1_00080 hypothetical protein	MG570132.1_00080 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein	OM037668.1_00130 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	OM037668.1_00130 hypothetical protein	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	OM037668.1_00130 hypothetical protein	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	OQ475017.1_00080 OQ475017.1 - hypothetical protein translation	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	PQ335173_PQ335174_00063 PQ335173_PQ335174 - hypothetical protein translation
OG0000031	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	GQ273492.1_00083 hypothetical protein	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein	MK689686.1_00084 hypothetical protein	MG570131.1_00083 hypothetical protein	MG570132.1_00083 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein	OM037668.1_00090 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	OM037668.1_00090 hypothetical protein	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	OM037668.1_00090 hypothetical protein	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation
OG0000032	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	GQ273492.1_00084 hypothetical protein	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	MG570131.1_00084 hypothetical protein	MG570132.1_00084 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein	OM037668.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	OM037668.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	OM037668.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation
OG0000033	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	GQ273492.1_00085 hypothetical protein	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein	MK689686.1_00086 hypothetical protein	MG570131.1_00085 hypothetical protein	MG570132.1_00085 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein	OM037668.1_00087 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	OM037668.1_00087 hypothetical protein	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	OM037668.1_00087 hypothetical protein	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation
OG0000034	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	GQ273492.1_00086 hypothetical protein	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein	MK689686.1_00087 hypothetical protein	MG570131.1_00086 hypothetical protein	MG570132.1_00086 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein	OM037668.1_00086 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	OM037668.1_00086 hypothetical protein	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	OM037668.1_00086 hypothetical protein	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	OQ475017.1_00086 OQ475017.1 - hypothetical protein translation	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	PQ335173_PQ335174_00057 PQ335173_PQ335174 - hypothetical protein translation
OG0000035	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	GQ273492.1_00087 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	MG570131.1_00087 hypothetical protein	MG570132.1_00087 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	OM037668.1_00084 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	OM037668.1_00084 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	OM037668.1_00084 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation
OG0000036	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	GQ273492.1_00091 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	MG570131.1_00091 hypothetical protein	MG570132.1_00091 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	OM037668.1_00081 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	OM037668.1_00081 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	OM037668.1_00081 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	OQ475017.1_00092 OQ475017.1 - hypothetical protein translation	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	PQ335173_PQ335174_00051 PQ335173_PQ335174 - hypothetical protein translation
OG0000037	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	GQ273492.1_00092 hypothetical protein	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	MK689686.1_00093 hypothetical protein	MG570131.1_00092 hypothetical protein	MG570132.1_00092 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	OM037668.1_00080 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	OM037668.1_00080 hypothetical protein	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	OM037668.1_00080 hypothetical protein	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation
OG0000038	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	GQ273492.1_00093 hypothetical protein	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	MK689686.1_00094 hypothetical protein	MG570131.1_00093 hypothetical protein	MG570132.1_00093 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	OM037668.1_00032 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	OM037668.1_00032 hypothetical protein	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	OM037668.1_00032 hypothetical protein	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	OQ475017.1_00094 OQ475017.1 - hypothetical protein translation	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	PQ335173_PQ335174_00049 PQ335173_PQ335174 - hypothetical protein translation
OG0000039	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	GQ273492.1_00096 hypothetical protein	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	MK689686.1_00097 hypothetical protein	MG570131.1_00096 hypothetical protein	MG570132.1_00096 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	OM037668.1_00033 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	OM037668.1_00033 hypothetical protein	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	OM037668.1_00033 hypothetical protein	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	OQ475017.1_00097 OQ475017.1 - hypothetical protein translation	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	PQ335173_PQ335174_00035 PQ335173_PQ335174 - hypothetical protein translation
OG0000040	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	GQ273492.1_00103 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	MG570131.1_00103 hypothetical protein	MG570132.1_00103 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	OM037668.1_00073 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	OM037668.1_00073 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	OM037668.1_00073 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation
OG0000041	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	GQ273492.1_00106 hypothetical protein	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	MK689686.1_00108 hypothetical protein	MG570131.1_00106 hypothetical protein	MG570132.1_00106 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	OM037668.1_00074 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	OM037668.1_00074 hypothetical protein	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	OM037668.1_00074 hypothetical protein	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	PQ335173_PQ335174_00041 PQ335173_PQ335174 - hypothetical protein translation
