Orthogroup	MW139932	PQ335173_PQ335174
OG0000016	MK689686.1_00032 hypothetical protein	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation
OG0000017	MK689686.1_00043 hypothetical protein	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation
OG0000018	MK689686.1_00046 hypothetical protein	PQ335173_PQ335174_00092 PQ335173_PQ335174 - hypothetical protein translation
OG0000019	MK689686.1_00049 hypothetical protein	PQ335173_PQ335174_00090 PQ335173_PQ335174 - hypothetical protein translation
OG0000020	MK689686.1_00054 hypothetical protein	PQ335173_PQ335174_00086 PQ335173_PQ335174 - hypothetical protein translation
OG0000021	MK689686.1_00055 hypothetical protein	PQ335173_PQ335174_00085 PQ335173_PQ335174 - hypothetical protein translation
OG0000022	MK689686.1_00056 hypothetical protein	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation
OG0000023	MK689686.1_00057 hypothetical protein	PQ335173_PQ335174_00083 PQ335173_PQ335174 - hypothetical protein translation
OG0000024	MK689686.1_00059 hypothetical protein	PQ335173_PQ335174_00081 PQ335173_PQ335174 - hypothetical protein translation
OG0000025	MK689686.1_00062 hypothetical protein	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation
OG0000026	MK689686.1_00063 hypothetical protein	PQ335173_PQ335174_00075 PQ335173_PQ335174 - hypothetical protein translation
OG0000027	MK689686.1_00076 hypothetical protein	PQ335173_PQ335174_00066 PQ335173_PQ335174 - hypothetical protein translation
OG0000028	MK689686.1_00079 hypothetical protein	PQ335173_PQ335174_00065 PQ335173_PQ335174 - hypothetical protein translation
OG0000029	MK689686.1_00080 hypothetical protein	PQ335173_PQ335174_00064 PQ335173_PQ335174 - hypothetical protein translation
OG0000030	MK689686.1_00081 hypothetical protein	PQ335173_PQ335174_00063 PQ335173_PQ335174 - hypothetical protein translation
OG0000031	MK689686.1_00084 hypothetical protein	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation
OG0000032	MK689686.1_00085 hypothetical protein	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation
OG0000033	MK689686.1_00086 hypothetical protein	PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation
OG0000034	MK689686.1_00087 hypothetical protein	PQ335173_PQ335174_00057 PQ335173_PQ335174 - hypothetical protein translation
OG0000035	MK689686.1_00088 hypothetical protein	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation
OG0000036	MK689686.1_00092 hypothetical protein	PQ335173_PQ335174_00051 PQ335173_PQ335174 - hypothetical protein translation
OG0000037	MK689686.1_00093 hypothetical protein	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation
OG0000038	MK689686.1_00094 hypothetical protein	PQ335173_PQ335174_00049 PQ335173_PQ335174 - hypothetical protein translation
OG0000039	MK689686.1_00097 hypothetical protein	PQ335173_PQ335174_00035 PQ335173_PQ335174 - hypothetical protein translation
OG0000040	MK689686.1_00105 hypothetical protein	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation
OG0000041	MK689686.1_00108 hypothetical protein	PQ335173_PQ335174_00041 PQ335173_PQ335174 - hypothetical protein translation
OG0000042	MK689686.1_00109 hypothetical protein	PQ335173_PQ335174_00042 PQ335173_PQ335174 - hypothetical protein translation
OG0000043	MK689686.1_00110 hypothetical protein	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation
OG0000044	MK689686.1_00112 hypothetical protein	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation
OG0000045	MK689686.1_00114 hypothetical protein	PQ335173_PQ335174_00046 PQ335173_PQ335174 - hypothetical protein translation
OG0000046	MK689686.1_00118 hypothetical protein	PQ335173_PQ335174_00031 PQ335173_PQ335174 - hypothetical protein translation
OG0000047	MK689686.1_00120 hypothetical protein	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation
OG0000048	MK689686.1_00121 hypothetical protein	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation
OG0000049	putative RNA binding protein_refgen putative RNA binding protein	PQ335173_PQ335174_00054 PQ335173_PQ335174 - hypothetical protein translation
OG0000050	transmembrane amino acid transporter protein_refgen transmembrane amino acid transporter protein	PQ335173_PQ335174_00025 PQ335173_PQ335174 - hypothetical protein translation
OG0000051	MK689686.1_00006 hypothetical protein	PQ335173_PQ335174_00020 PQ335173_PQ335174 - hypothetical protein translation
OG0000052	MK689686.1_00010 hypothetical protein	PQ335173_PQ335174_00015 PQ335173_PQ335174 - hypothetical protein translation
OG0000054	MK689686.1_00023 hypothetical protein	PQ335173_PQ335174_00001 PQ335173_PQ335174 - hypothetical protein translation
OG0000055	MK689686.1_00034 DNA-directed RNA polymerase subunit 2	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation
OG0000056	MK689686.1_00035 hypothetical protein	PQ335173_PQ335174_00111 PQ335173_PQ335174 - hypothetical protein translation
OG0000057	MK689686.1_00074 hypothetical protein	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation
OG0000058	MK689686.1_00089 hypothetical protein	PQ335173_PQ335174_00055 PQ335173_PQ335174 - hypothetical protein translation
OG0000061	MK689686.1_00122 hypothetical protein	PQ335173_PQ335174_00026 PQ335173_PQ335174 - hypothetical protein translation
OG0000064	MK689686.1_00009 hypothetical protein	PQ335173_PQ335174_00016 PQ335173_PQ335174 - hypothetical protein translation
OG0000065	MK689686.1_00011 hypothetical protein	PQ335173_PQ335174_00013 PQ335173_PQ335174 - hypothetical protein translation
OG0000066	MK689686.1_00016 hypothetical protein	PQ335173_PQ335174_00008 PQ335173_PQ335174 - hypothetical protein translation
OG0000067	MK689686.1_00039 hypothetical protein	PQ335173_PQ335174_00099 PQ335173_PQ335174 - hypothetical protein translation
OG0000068	MK689686.1_00040 hypothetical protein	PQ335173_PQ335174_00098 PQ335173_PQ335174 - hypothetical protein translation
OG0000069	MK689686.1_00042 hypothetical protein	PQ335173_PQ335174_00096 PQ335173_PQ335174 - hypothetical protein translation
OG0000070	MK689686.1_00044 hypothetical protein	PQ335173_PQ335174_00094 PQ335173_PQ335174 - hypothetical protein translation
OG0000071	MK689686.1_00045 hypothetical protein	PQ335173_PQ335174_00093 PQ335173_PQ335174 - hypothetical protein translation
OG0000072	MK689686.1_00050 hypothetical protein	PQ335173_PQ335174_00089 PQ335173_PQ335174 - hypothetical protein translation
OG0000073	MK689686.1_00051 hypothetical protein	PQ335173_PQ335174_00088 PQ335173_PQ335174 - hypothetical protein translation
OG0000074	MK689686.1_00061 hypothetical protein	PQ335173_PQ335174_00079 PQ335173_PQ335174 - hypothetical protein translation
OG0000075	MK689686.1_00067 hypothetical protein	PQ335173_PQ335174_00073 PQ335173_PQ335174 - hypothetical protein translation
OG0000076	MK689686.1_00075 hypothetical protein	PQ335173_PQ335174_00067 PQ335173_PQ335174 - hypothetical protein translation
OG0000077	MK689686.1_00082 hypothetical protein	PQ335173_PQ335174_00062 PQ335173_PQ335174 - hypothetical protein translation
OG0000078	MK689686.1_00083 hypothetical protein	TSIV_ORF50 PQ335173_PQ335174 - hypothetical protein translation
OG0000079	MK689686.1_00096 hypothetical protein	PQ335173_PQ335174_00034 PQ335173_PQ335174 - hypothetical protein translation
OG0000080	MK689686.1_00098 hypothetical protein	PQ335173_PQ335174_00036 PQ335173_PQ335174 - hypothetical protein translation
OG0000081	MK689686.1_00100 hypothetical protein	PQ335173_PQ335174_00037 PQ335173_PQ335174 - hypothetical protein translation
OG0000082	MK689686.1_00117 hypothetical protein	PQ335173_PQ335174_00032 PQ335173_PQ335174 - hypothetical protein translation, PQ335173_PQ335174_00033 PQ335173_PQ335174 - hypothetical protein translation
OG0000084	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor	PQ335173_PQ335174_00040 PQ335173_PQ335174 - hypothetical protein translation
OG0000085	ORF038_refgen ORF039	PQ335173_PQ335174_00097 PQ335173_PQ335174 - hypothetical protein translation
OG0000087	ORF066L_refgen ORF066L	PQ335173_PQ335174_00074 PQ335173_PQ335174 - hypothetical protein translation
OG0000089	MK689686.1_00036 hypothetical protein	PQ335173_PQ335174_00102 PQ335173_PQ335174 - hypothetical protein translation
OG0000091	MK689686.1_00068 hypothetical protein	PQ335173_PQ335174_00072 PQ335173_PQ335174 - hypothetical protein translation
OG0000092	MK689686.1_00071 hypothetical protein	PQ335173_PQ335174_00070 PQ335173_PQ335174 - hypothetical protein translation
OG0000106	MK689686.1_00037 hypothetical protein	PQ335173_PQ335174_00101 PQ335173_PQ335174 - hypothetical protein translation
OG0000108	MK689686.1_00119 hypothetical protein	PQ335173_PQ335174_00029 PQ335173_PQ335174 - hypothetical protein translation
OG0000109	DNA-binding protein_refgen DNA-binding protein	PQ335173_PQ335174_00080 PQ335173_PQ335174 - hypothetical protein translation
OG0000111	MK689686.1_00113 hypothetical protein	TSIV_ORF39 PQ335173_PQ335174 - hypothetical protein translation
OG0000113	MK689686.1_00020 hypothetical protein	PQ335173_PQ335174_00004 PQ335173_PQ335174 - hypothetical protein translation
OG0000114	MK689686.1_00058 hypothetical protein	PQ335173_PQ335174_00082 PQ335173_PQ335174 - hypothetical protein translation
