Orthogroup	MN432490.1	MK689686.1
OG0000039	MN432490.1_00024	MK689686.1_00022
OG0000040	MN432490.1_00025	MK689686.1_00023
OG0000041	MN432490.1_00034	MK689686.1_00031
OG0000042	MN432490.1_00038	MK689686.1_00035
OG0000043	MN432490.1_00050	MK689686.1_00048
OG0000044	MN432490.1_00051	MK689686.1_00049
OG0000045	MN432490.1_00056	MK689686.1_00054
OG0000046	MN432490.1_00057	MK689686.1_00055
OG0000047	MN432490.1_00059	MK689686.1_00057
OG0000048	MN432490.1_00060	MK689686.1_00058
OG0000049	MN432490.1_00061	MK689686.1_00059
OG0000050	MN432490.1_00080	MK689686.1_00076
OG0000051	MN432490.1_00084	MK689686.1_00080
OG0000052	MN432490.1_00085	MK689686.1_00081
OG0000053	MN432490.1_00096	MK689686.1_00092
OG0000054	MN432490.1_00098	MK689686.1_00094
OG0000055	MN432490.1_00101	MK689686.1_00097
OG0000056	MN432490.1_00112	MK689686.1_00109
OG0000057	MN432490.1_00116	MK689686.1_00114
OG0000058	MN432490.1_00118	MK689686.1_00116
OG0000059	MN432490.1_00002	MK689686.1_00002
OG0000060	MN432490.1_00010	MK689686.1_00010
OG0000061	MN432490.1_00018	MK689686.1_00017
OG0000062	MN432490.1_00093	MK689686.1_00089
OG0000063	MN432490.1_00073	MK689686.1_00071
OG0000064	MN432490.1_00017	MK689686.1_00016
OG0000065	MN432490.1_00040	MK689686.1_00037
OG0000066	MN432490.1_00044	MK689686.1_00041
OG0000067	MN432490.1_00048	MK689686.1_00045
OG0000068	MN432490.1_00067	MK689686.1_00066
OG0000069	MN432490.1_00100	MK689686.1_00096
OG0000070	MN432490.1_00102	MK689686.1_00098
OG0000071	MN432490.1_00115	MK689686.1_00113
OG0000072	MN432490.1_00009	MK689686.1_00009
OG0000073	MN432490.1_00012	MK689686.1_00011
OG0000074	MN432490.1_00016	MK689686.1_00015
OG0000075	MN432490.1_00036	MK689686.1_00033
OG0000076	MN432490.1_00039	MK689686.1_00036
OG0000077	MN432490.1_00042	MK689686.1_00039
OG0000078	MN432490.1_00043	MK689686.1_00040
OG0000079	MN432490.1_00047	MK689686.1_00044
OG0000080	MN432490.1_00052	MK689686.1_00050
OG0000081	MN432490.1_00053	MK689686.1_00051
OG0000082	MN432490.1_00054	MK689686.1_00052
OG0000083	MN432490.1_00063	MK689686.1_00061
OG0000084	MN432490.1_00066	MK689686.1_00064
OG0000085	MN432490.1_00069	MK689686.1_00067
OG0000086	MN432490.1_00070	MK689686.1_00068
OG0000087	MN432490.1_00075	MK689686.1_00072
OG0000088	MN432490.1_00076	MK689686.1_00073
OG0000089	MN432490.1_00086	MK689686.1_00082
OG0000090	MN432490.1_00087	MK689686.1_00083
OG0000091	MN432490.1_00099	MK689686.1_00095
OG0000092	MN432490.1_00103	MK689686.1_00099
OG0000093	MN432490.1_00106	MK689686.1_00103
OG0000094	MN432490.1_00109	MK689686.1_00106
OG0000095	MN432490.1_00110	MK689686.1_00107
OG0000096	MN432490.1_00120	MK689686.1_00118
OG0000097	MN432490.1_00003	MK689686.1_00003
OG0000098	MN432490.1_00004	MK689686.1_00004
OG0000099	MN432490.1_00041	MK689686.1_00038
OG0000100	MN432490.1_00045	MK689686.1_00042
OG0000101	MN432490.1_00071	MK689686.1_00069
OG0000102	MN432490.1_00081	MK689686.1_00077
OG0000103	MN432490.1_00104	MK689686.1_00100
OG0000104	MN432490.1_00107	MK689686.1_00104
OG0000105	MN432490.1_00117	MK689686.1_00115
OG0000106	MN432490.1_00030	MK689686.1_00027
OG0000107	MN432490.1_00105	MK689686.1_00101
OG0000108	MN432490.1_00121	MK689686.1_00119
OG0000109	MN432490.1_00072	MK689686.1_00070
OG0000110	MN432490.1_00119	MK689686.1_00117
OG0000111	MN432490.1_00095	MK689686.1_00091
OG0000112	MN432490.1_00082	MK689686.1_00078
OG0000116	MN432490.1_00055	MK689686.1_00053
OG0000143	MN432490.1_00021	MK689686.1_00020
