Orthogroup	Chlor_IIV22_HF920633.1	Irido_IIV6_AF303741.1
OG0000135	Chlor_IIV22_HF920633.1_00004	Irido_IIV6_AF303741.1_00130, Irido_IIV6_AF303741.1_00089
OG0000137	Chlor_IIV22_HF920633.1_00132	Irido_IIV6_AF303741.1_00031
OG0000138	Chlor_IIV22_HF920633.1_00053	Irido_IIV6_AF303741.1_00100, Irido_IIV6_AF303741.1_00162
OG0000139	Chlor_IIV22_HF920633.1_00156	Irido_IIV6_AF303741.1_00101
OG0000148	Chlor_IIV22_HF920633.1_00026	Irido_IIV6_AF303741.1_00072
OG0000149	Chlor_IIV22_HF920633.1_00104	Irido_IIV6_AF303741.1_00185
OG0000153	Chlor_IIV22_HF920633.1_00114	Irido_IIV6_AF303741.1_00182
OG0000154	Chlor_IIV22_HF920633.1_00036	Irido_IIV6_AF303741.1_00183
OG0000155	Chlor_IIV22_HF920633.1_00088	Irido_IIV6_AF303741.1_00145, Irido_IIV6_AF303741.1_00090
OG0000156	Chlor_IIV22_HF920633.1_00106	Irido_IIV6_AF303741.1_00192
OG0000157	Chlor_IIV22_HF920633.1_00129, Chlor_IIV22_HF920633.1_00099, Chlor_IIV22_HF920633.1_00019, Chlor_IIV22_HF920633.1_00100	Irido_IIV6_AF303741.1_00099, Irido_IIV6_AF303741.1_00070
OG0000164	Chlor_IIV22_HF920633.1_00031, Chlor_IIV22_HF920633.1_00161	Irido_IIV6_AF303741.1_00181
OG0000167	Chlor_IIV22_HF920633.1_00039	Irido_IIV6_AF303741.1_00068, Irido_IIV6_AF303741.1_00067
OG0000168	Chlor_IIV22_HF920633.1_00144	Irido_IIV6_AF303741.1_00105
OG0000169	Chlor_IIV22_HF920633.1_00134	Irido_IIV6_AF303741.1_00056
OG0000170	Chlor_IIV22_HF920633.1_00082	Irido_IIV6_AF303741.1_00087
OG0000171	Chlor_IIV22_HF920633.1_00105	Irido_IIV6_AF303741.1_00076
OG0000172	Chlor_IIV22_HF920633.1_00177	Irido_IIV6_AF303741.1_00096
OG0000173	Chlor_IIV22_HF920633.1_00169	Irido_IIV6_AF303741.1_00091
OG0000174	Chlor_IIV22_HF920633.1_00046	Irido_IIV6_AF303741.1_00179
OG0000175	Chlor_IIV22_HF920633.1_00030	Irido_IIV6_AF303741.1_00049, Irido_IIV6_AF303741.1_00078, Irido_IIV6_AF303741.1_00147, Irido_IIV6_AF303741.1_00083
OG0000184	Chlor_IIV22_HF920633.1_00029	Irido_IIV6_AF303741.1_00184
OG0000185	Chlor_IIV22_HF920633.1_00035	Irido_IIV6_AF303741.1_00177
OG0000186	Chlor_IIV22_HF920633.1_00165	Irido_IIV6_AF303741.1_00017
OG0000187	Chlor_IIV22_HF920633.1_00131	Irido_IIV6_AF303741.1_00122
OG0000188	Chlor_IIV22_HF920633.1_00056	Irido_IIV6_AF303741.1_00148
OG0000189	Chlor_IIV22_HF920633.1_00032	Irido_IIV6_AF303741.1_00104
OG0000190	Chlor_IIV22_HF920633.1_00050	Irido_IIV6_AF303741.1_00151
OG0000191	Chlor_IIV22_HF920633.1_00098	Irido_IIV6_AF303741.1_00161
OG0000192	Chlor_IIV22_HF920633.1_00020, Chlor_IIV22_HF920633.1_00021	Irido_IIV6_AF303741.1_00086
OG0000193	Chlor_IIV22_HF920633.1_00103	Irido_IIV6_AF303741.1_00085
OG0000194	Chlor_IIV22_HF920633.1_00121	Irido_IIV6_AF303741.1_00193
OG0000195	Chlor_IIV22_HF920633.1_00128	Irido_IIV6_AF303741.1_00003
OG0000196	Chlor_IIV22_HF920633.1_00110	Irido_IIV6_AF303741.1_00004
OG0000197	Chlor_IIV22_HF920633.1_00120	Irido_IIV6_AF303741.1_00136
OG0000199	Chlor_IIV22_HF920633.1_00146	Irido_IIV6_AF303741.1_00146
OG0000200	Chlor_IIV22_HF920633.1_00149	Irido_IIV6_AF303741.1_00015
OG0000201	Chlor_IIV22_HF920633.1_00123	Irido_IIV6_AF303741.1_00150
OG0000202	Chlor_IIV22_HF920633.1_00125	Irido_IIV6_AF303741.1_00197
OG0000203	Chlor_IIV22_HF920633.1_00022	Irido_IIV6_AF303741.1_00112
OG0000214	Chlor_IIV22_HF920633.1_00018	Irido_IIV6_AF303741.1_00074
OG0000215	Chlor_IIV22_HF920633.1_00013	Irido_IIV6_AF303741.1_00160
OG0000216	Chlor_IIV22_HF920633.1_00074	Irido_IIV6_AF303741.1_00124
OG0000217	Chlor_IIV22_HF920633.1_00063	Irido_IIV6_AF303741.1_00042
OG0000218	Chlor_IIV22_HF920633.1_00113	Irido_IIV6_AF303741.1_00175
OG0000219	Chlor_IIV22_HF920633.1_00160	Irido_IIV6_AF303741.1_00044
OG0000220	Chlor_IIV22_HF920633.1_00087	Irido_IIV6_AF303741.1_00135
OG0000221	Chlor_IIV22_HF920633.1_00023	Irido_IIV6_AF303741.1_00107
OG0000222	Chlor_IIV22_HF920633.1_00037	Irido_IIV6_AF303741.1_00203
OG0000223	Chlor_IIV22_HF920633.1_00061	Irido_IIV6_AF303741.1_00064
OG0000224	Chlor_IIV22_HF920633.1_00008	Irido_IIV6_AF303741.1_00018
OG0000225	Chlor_IIV22_HF920633.1_00102	Irido_IIV6_AF303741.1_00120
OG0000226	Chlor_IIV22_HF920633.1_00155	Irido_IIV6_AF303741.1_00204
OG0000227	Chlor_IIV22_HF920633.1_00041	Irido_IIV6_AF303741.1_00159
OG0000228	Chlor_IIV22_HF920633.1_00101	Irido_IIV6_AF303741.1_00008
OG0000284	Chlor_IIV22_HF920633.1_00070	Irido_IIV6_AF303741.1_00115
OG0000286	Chlor_IIV22_HF920633.1_00016	Irido_IIV6_AF303741.1_00028
OG0000287	Chlor_IIV22_HF920633.1_00167	Irido_IIV6_AF303741.1_00116
OG0000334	Chlor_IIV22_HF920633.1_00002	Irido_IIV6_AF303741.1_00016
OG0000335	Chlor_IIV22_HF920633.1_00055	Irido_IIV6_AF303741.1_00186
OG0000336	Chlor_IIV22_HF920633.1_00065	Irido_IIV6_AF303741.1_00069
OG0000337	Chlor_IIV22_HF920633.1_00075	Irido_IIV6_AF303741.1_00002
OG0000340	Chlor_IIV22_HF920633.1_00140	Irido_IIV6_AF303741.1_00111
OG0000341	Chlor_IIV22_HF920633.1_00166	Irido_IIV6_AF303741.1_00048
OG0000342	Chlor_IIV22_HF920633.1_00176	Irido_IIV6_AF303741.1_00180
OG0000343	Chlor_IIV22_HF920633.1_00178	Irido_IIV6_AF303741.1_00043
