Orthogroup	ON740976.1	OP009387.1
OG0000105	ON740976.1_00116	OP009387.1_00116
OG0000106	ON740976.1_00028	OP009387.1_00028
OG0000107	ON740976.1_00102	OP009387.1_00103
OG0000108	ON740976.1_00120	OP009387.1_00120
OG0000109	ON740976.1_00071	OP009387.1_00071
OG0000110	ON740976.1_00118	OP009387.1_00118
OG0000112	ON740976.1_00079	OP009387.1_00081
OG0000114	ON740976.1_00020	OP009387.1_00022
OG0000116	ON740976.1_00054	OP009387.1_00054
OG0000118	ON740976.1_00091	OP009387.1_00093
OG0000120	ON740976.1_00103	OP009387.1_00104
OG0000130	ON740976.1_00048	OP009387.1_00048
