Orthogroup	ON740976.1	AY779031.1
OG0000086	ON740976.1_00069	AY779031.1_00076
OG0000087	ON740976.1_00073	AY779031.1_00081
OG0000088	ON740976.1_00074	AY779031.1_00082
OG0000089	ON740976.1_00083	AY779031.1_00092
OG0000090	ON740976.1_00084	AY779031.1_00093
OG0000091	ON740976.1_00096	AY779031.1_00105
OG0000092	ON740976.1_00100	AY779031.1_00112
OG0000093	ON740976.1_00104	AY779031.1_00114
OG0000094	ON740976.1_00107	AY779031.1_00117
OG0000095	ON740976.1_00108	AY779031.1_00118
OG0000097	ON740976.1_00003	AY779031.1_00003
OG0000098	ON740976.1_00004	AY779031.1_00004
OG0000099	ON740976.1_00039	AY779031.1_00043
OG0000100	ON740976.1_00043	AY779031.1_00048
OG0000101	ON740976.1_00070	AY779031.1_00077
OG0000102	ON740976.1_00078	AY779031.1_00087
OG0000104	ON740976.1_00105	AY779031.1_00115
OG0000105	ON740976.1_00116	AY779031.1_00126
OG0000106	ON740976.1_00028	AY779031.1_00032
OG0000109	ON740976.1_00071	AY779031.1_00079
OG0000110	ON740976.1_00118	AY779031.1_00128
OG0000111	ON740976.1_00092	AY779031.1_00101
OG0000112	ON740976.1_00079	AY779031.1_00088
OG0000114	ON740976.1_00020	AY779031.1_00022
OG0000117	ON740976.1_00066	AY779031.1_00071
OG0000118	ON740976.1_00091	AY779031.1_00100
OG0000120	ON740976.1_00103	AY779031.1_00113
OG0000144	ON740976.1_00024	AY779031.1_00026
