Orthogroup	ON740976.1	AF371960.1
OG0000094	ON740976.1_00107	AF371960.1_00108
OG0000095	ON740976.1_00108	AF371960.1_00109
OG0000096	ON740976.1_00119	AF371960.1_00119
OG0000097	ON740976.1_00003	AF371960.1_00003
OG0000098	ON740976.1_00004	AF371960.1_00004
OG0000099	ON740976.1_00039	AF371960.1_00040
OG0000100	ON740976.1_00043	AF371960.1_00044
OG0000101	ON740976.1_00070	AF371960.1_00071
OG0000102	ON740976.1_00078	AF371960.1_00081
OG0000103	ON740976.1_00101	AF371960.1_00103
OG0000104	ON740976.1_00105	AF371960.1_00106
OG0000105	ON740976.1_00116	AF371960.1_00116
OG0000106	ON740976.1_00028	AF371960.1_00029
OG0000107	ON740976.1_00102	AF371960.1_00104
OG0000108	ON740976.1_00120	AF371960.1_00120
OG0000109	ON740976.1_00071	AF371960.1_00072
OG0000110	ON740976.1_00118	AF371960.1_00118
OG0000116	ON740976.1_00054	AF371960.1_00054
OG0000117	ON740976.1_00066	AF371960.1_00067
OG0000118	ON740976.1_00091	AF371960.1_00094
