Orthogroup	MT521409	OQ475017
OG0000045	OM037668.1_00079 hypothetical protein	OQ475017.1_00114 OQ475017.1 - hypothetical protein translation
OG0000046	OM037668.1_00091 hypothetical protein	OQ475017.1_00118 OQ475017.1 - hypothetical protein translation
OG0000047	OM037668.1_00078 hypothetical protein	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation
OG0000048	OM037668.1_00004 hypothetical protein	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation
OG0000049	OM037668.1_00030 hypothetical protein	OQ475017.1 - 00001 translation OQ475017.1 - 00001 translation
OG0000050	SDDV_ORF011 Tripartite motif-containing protein	OQ475017.1_00006 OQ475017.1 - hypothetical protein translation
OG0000051	OM037668.1_00051 hypothetical protein	OQ475017.1_00013 OQ475017.1 - hypothetical protein translation
OG0000052	OM037668.1_00048 hypothetical protein	OQ475017.1_00024 OQ475017.1 - hypothetical protein translation
OG0000053	OM037668.1_00127 DNA-directed RNA polymerase subunit 2	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000054	OM037668.1_00122 hypothetical protein	OQ475017.1_00036 OQ475017.1 - hypothetical protein translation
OG0000055	OM037668.1_00021 hypothetical protein	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation
OG0000058	SDDV_ORF050 RING E3 ubiquitin ligase	OQ475017.1_00095 OQ475017.1 - hypothetical protein translation
OG0000059	OM037668.1_00134 hypothetical protein	OQ475017.1_00116 OQ475017.1 - hypothetical protein translation
OG0000060	OM037668.1_00028 hypothetical protein	OQ475017.1_00122 OQ475017.1 - hypothetical protein translation
OG0000061	OM037668.1_00054 hypothetical protein	OQ475017.1_00010 OQ475017.1 - hypothetical protein translation
OG0000062	OM037668.1_00003 hypothetical protein	OQ475017.1_00032 OQ475017.1 - hypothetical protein translation
OG0000085	OM037668.1_00042 hypothetical protein	OQ475017.1_00021 OQ475017.1 - hypothetical protein translation
OG0000109	OM037668.1_00095 hypothetical protein	OQ475017.1_00060 OQ475017.1 - hypothetical protein translation
OG0000114	OM037668.1_00085 hypothetical protein	OQ475017.1_00058 OQ475017.1 - hypothetical protein translation
OG0000116	OM037668.1_00053 hypothetical protein	OQ475017.1_00011 OQ475017.1 - hypothetical protein translation
OG0000117	OM037668.1_00101 hypothetical protein	OQ475017.1_00053 OQ475017.1 - hypothetical protein translation
