Orthogroup	ON743042.1	OQ475017.1
OG0000070	ON743042.1_00101	OQ475017.1_00098
OG0000071	ON743042.1_00116	OQ475017.1_00113
OG0000072	ON743042.1_00009	OQ475017.1_00009
OG0000073	ON743042.1_00012	OQ475017.1_00012
OG0000074	ON743042.1_00016	OQ475017.1_00016
OG0000075	ON743042.1_00035	OQ475017.1_00034
OG0000076	ON743042.1_00038	OQ475017.1_00037
OG0000077	ON743042.1_00042	OQ475017.1_00040
OG0000078	ON743042.1_00043	OQ475017.1_00041
OG0000079	ON743042.1_00047	OQ475017.1_00045
OG0000080	ON743042.1_00053	OQ475017.1_00050
OG0000081	ON743042.1_00054	OQ475017.1_00051
OG0000082	ON743042.1_00055	OQ475017.1_00052
OG0000083	ON743042.1_00064	OQ475017.1_00061
OG0000084	ON743042.1_00067	OQ475017.1_00064
OG0000085	ON743042.1_00070	OQ475017.1_00066
OG0000086	ON743042.1_00071	OQ475017.1_00067
OG0000087	ON743042.1_00075	OQ475017.1_00071
OG0000088	ON743042.1_00076	OQ475017.1_00072
OG0000089	ON743042.1_00085	OQ475017.1_00081
OG0000090	ON743042.1_00086	OQ475017.1_00082
OG0000091	ON743042.1_00098	OQ475017.1_00095
OG0000092	ON743042.1_00102	OQ475017.1_00099
OG0000093	ON743042.1_00106	OQ475017.1_00103
OG0000094	ON743042.1_00109	OQ475017.1_00106
OG0000095	ON743042.1_00110	OQ475017.1_00107
OG0000096	ON743042.1_00121	OQ475017.1_00118
OG0000097	ON743042.1_00003	OQ475017.1_00003
OG0000098	ON743042.1_00004	OQ475017.1_00004
OG0000099	ON743042.1_00041	OQ475017.1_00039
OG0000100	ON743042.1_00045	OQ475017.1_00043
OG0000101	ON743042.1_00072	OQ475017.1_00068
OG0000102	ON743042.1_00080	OQ475017.1_00076
OG0000103	ON743042.1_00103	OQ475017.1_00100
OG0000104	ON743042.1_00107	OQ475017.1_00104
OG0000105	ON743042.1_00118	OQ475017.1_00115
OG0000107	ON743042.1_00104	OQ475017.1_00101
OG0000108	ON743042.1_00122	OQ475017.1_00119
OG0000109	ON743042.1_00073	OQ475017.1_00069
OG0000110	ON743042.1_00120	OQ475017.1_00117
OG0000111	ON743042.1_00094	OQ475017.1_00091
OG0000112	ON743042.1_00081	OQ475017.1_00077
OG0000113	ON743042.1_00021	OQ475017.1_00021
OG0000114	ON743042.1_00011	OQ475017.1_00011
OG0000115	ON743042.1_00056	OQ475017.1_00053
OG0000118	ON743042.1_00105	OQ475017.1_00102
OG0000119	ON743042.1_00114	OQ475017.1_00111
OG0000124	ON743042.1_00028	OQ475017.1_00028
OG0000131	ON743042.1_00093	OQ475017.1_00089
