Orthogroup	AY779031.1	AY532606.1
OG0000086	AY779031.1_00076	AY532606.1_00071
OG0000087	AY779031.1_00081	AY532606.1_00076
OG0000088	AY779031.1_00082	AY532606.1_00077
OG0000089	AY779031.1_00092	AY532606.1_00086
OG0000090	AY779031.1_00093	AY532606.1_00087
OG0000091	AY779031.1_00105	AY532606.1_00101
OG0000092	AY779031.1_00112	AY532606.1_00105
OG0000093	AY779031.1_00114	AY532606.1_00109
OG0000094	AY779031.1_00117	AY532606.1_00112
OG0000095	AY779031.1_00118	AY532606.1_00113
OG0000097	AY779031.1_00003	AY532606.1_00002
OG0000098	AY779031.1_00004	AY532606.1_00003
OG0000099	AY779031.1_00043	AY532606.1_00039
OG0000101	AY779031.1_00077	AY532606.1_00073
OG0000102	AY779031.1_00087	AY532606.1_00081
OG0000104	AY779031.1_00115	AY532606.1_00110
OG0000105	AY779031.1_00126	AY532606.1_00123
OG0000106	AY779031.1_00032	AY532606.1_00028
OG0000109	AY779031.1_00079	AY532606.1_00074
OG0000111	AY779031.1_00101	AY532606.1_00096
OG0000112	AY779031.1_00088	AY532606.1_00082
OG0000115	AY779031.1_00011	AY532606.1_00010
OG0000117	AY779031.1_00071	AY532606.1_00068
OG0000118	AY779031.1_00100	AY532606.1_00095
OG0000120	AY779031.1_00113	AY532606.1_00108
OG0000124	AY779031.1_00028	AY532606.1_00024
OG0000142	AY779031.1_00029	AY532606.1_00025
OG0000238	AY779031.1_00064	AY532606.1_00060
