Orthogroup	MG570132	OQ475017
OG0000071	MG570132.1_00051 hypothetical protein	OQ475017.1_00050 OQ475017.1 - hypothetical protein translation
OG0000072	MG570132.1_00052 hypothetical protein	OQ475017.1_00051 OQ475017.1 - hypothetical protein translation
OG0000073	MG570132.1_00062 hypothetical protein	OQ475017.1_00061 OQ475017.1 - hypothetical protein translation
OG0000074	MG570132.1_00067 hypothetical protein	OQ475017.1_00066 OQ475017.1 - hypothetical protein translation
OG0000075	MG570132.1_00074 hypothetical protein	OQ475017.1_00074 OQ475017.1 - hypothetical protein translation
OG0000076	MG570132.1_00081 hypothetical protein	OQ475017.1_00081 OQ475017.1 - hypothetical protein translation
OG0000077	MG570132.1_00082 hypothetical protein	OQ475017.1_00082 OQ475017.1 - hypothetical protein translation
OG0000078	MG570132.1_00095 hypothetical protein	OQ475017.1_00096 OQ475017.1 - hypothetical protein translation
OG0000079	MG570132.1_00097 hypothetical protein	OQ475017.1_00098 OQ475017.1 - hypothetical protein translation
OG0000080	MG570132.1_00099 hypothetical protein	OQ475017.1_00100 OQ475017.1 - hypothetical protein translation
OG0000081	MG570132.1_00115 hypothetical protein	OQ475017.1_00117 OQ475017.1 - hypothetical protein translation
OG0000082	MG570132.1_00090 hypothetical protein	OQ475017.1_00091 OQ475017.1 - hypothetical protein translation
OG0000083	MG570132.1_00066 hypothetical protein	OQ475017.1_00065 OQ475017.1 - hypothetical protein translation
OG0000084	MG570132.1_00065 hypothetical protein	OQ475017.1_00064 OQ475017.1 - hypothetical protein translation
OG0000086	MG570132.1_00003 hypothetical protein	OQ475017.1_00003 OQ475017.1 - hypothetical protein translation
OG0000087	MG570132.1_00038 hypothetical protein	OQ475017.1_00037 OQ475017.1 - hypothetical protein translation
OG0000088	MG570132.1_00043 hypothetical protein	OQ475017.1_00042 OQ475017.1 - hypothetical protein translation
OG0000089	MG570132.1_00053 hypothetical protein	OQ475017.1_00052 OQ475017.1 - hypothetical protein translation
OG0000090	MG570132.1_00068 hypothetical protein	OQ475017.1_00067 OQ475017.1 - hypothetical protein translation
OG0000091	MG570132.1_00070 hypothetical protein	OQ475017.1_00070 OQ475017.1 - hypothetical protein translation
OG0000092	MG570132.1_00071 hypothetical protein	OQ475017.1_00071 OQ475017.1 - hypothetical protein translation
OG0000093	MG570132.1_00072 hypothetical protein	OQ475017.1_00072 OQ475017.1 - hypothetical protein translation
OG0000094	MG570132.1_00076 hypothetical protein	OQ475017.1_00076 OQ475017.1 - hypothetical protein translation
OG0000095	MG570132.1_00098 hypothetical protein	OQ475017.1_00099 OQ475017.1 - hypothetical protein translation
OG0000096	MG570132.1_00100 hypothetical protein	OQ475017.1_00101 OQ475017.1 - hypothetical protein translation
OG0000097	MG570132.1_00104 hypothetical protein	OQ475017.1_00106 OQ475017.1 - hypothetical protein translation
OG0000098	MG570132.1_00105 hypothetical protein	OQ475017.1_00107 OQ475017.1 - hypothetical protein translation
OG0000099	MG570132.1_00113 hypothetical protein	OQ475017.1_00115 OQ475017.1 - hypothetical protein translation
OG0000100	MG570132.1_00101 hypothetical protein	OQ475017.1_00103 OQ475017.1 - hypothetical protein translation
OG0000101	MG570132.1_00004 hypothetical protein	OQ475017.1_00004 OQ475017.1 - hypothetical protein translation
OG0000103	MG570132.1_00035 hypothetical protein	OQ475017.1_00034 OQ475017.1 - hypothetical protein translation
OG0000104	MG570132.1_00040 hypothetical protein	OQ475017.1_00039 OQ475017.1 - hypothetical protein translation
OG0000105	MG570132.1_00102 hypothetical protein	OQ475017.1_00104 OQ475017.1 - hypothetical protein translation
OG0000106	MG570132.1_00039 hypothetical protein	OQ475017.1_00038 OQ475017.1 - hypothetical protein translation
OG0000107	MG570132.1_00069 hypothetical protein	OQ475017.1_00068 OQ475017.1 - hypothetical protein translation
OG0000108	MG570132.1_00117 hypothetical protein	OQ475017.1_00119 OQ475017.1 - hypothetical protein translation
OG0000109	MG570132.1_00061 hypothetical protein	OQ475017.1_00060 OQ475017.1 - hypothetical protein translation
OG0000111	MG570132.1_00111 hypothetical protein	OQ475017.1_00113 OQ475017.1 - hypothetical protein translation
OG0000114	MG570132.1_00059 hypothetical protein	OQ475017.1_00058 OQ475017.1 - hypothetical protein translation
OG0000115	MG570132.1_00017 hypothetical protein	OQ475017.1_00016 OQ475017.1 - hypothetical protein translation
OG0000116	MG570132.1_00012 hypothetical protein	OQ475017.1_00011 OQ475017.1 - hypothetical protein translation
OG0000117	MG570132.1_00054 hypothetical protein	OQ475017.1_00053 OQ475017.1 - hypothetical protein translation
OG0000120	MG570132.1_00077 hypothetical protein	OQ475017.1_00077 OQ475017.1 - hypothetical protein translation
OG0000123	MG570132.1_00109 hypothetical protein	OQ475017.1_00111 OQ475017.1 - hypothetical protein translation
OG0000183	MG570132.1_00027 hypothetical protein	OQ475017.1_00026 OQ475017.1 - hypothetical protein translation
