Genbank Accession,Genetic Information Source,Genus,Species,Virus ('organism name'),Acronym (of organism name),Isolate,Complete or partial genome,Sequence length (bp),Gene,Submitting organisation ,Geogrpahical location sampled,Host,Collection date,Publication DOI,Paper's first author (family name),Paper title,Year paper published ,In vivo or in vitro study,Phylogenetic analysis (yes/no),Platforms and tools (sequencing and other),Notes ,Isolate at ACDP (yes/no),File name,
AY059400,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Giant seaperch iridovirus,GSIV,None given,Partial ,844," 1F-2R amplicon, complete sequence","Institute for Animal Disease Prevention and Control, Fish Disease Laboratory, Taiwan",None given,Lates calcarifer,None given,N/A,N/A,N/A,N/A,,N/A,N/A,"Genbank:
Submitters: chao et al. 
Host: Lates calcarifer
Geo Location: Taiwan",,,
KT989778,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Grouper iridovirus of Taiwan,Not given,None given,Partial ,1362,MCP,"National Taiwan Ocean University, Aquaculture, Taiwan",Taiwan,Epinephelus,1/10/1995,N/A,N/A,N/A,N/A,,N/A,N/A,"Genbank:
Host: Epinephelus
Geo Location: Taiwan
Collection Date: 1995-10-01",,,
AB109370,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Grouper sleepy disease iridovirus,Not given,None given,Partial ,1376,MCP,"Faculty of Bioresources; Kamihama 1515, Tsu, Mie 514-8507, Japan",Thailand,Epinephelus malabaricus,Not given,10.1007/s00705-002-0883-6,Sudthongkong,"Viral DNA sequences of genes encoding the ATPase and the major capsid protein of tropical iridovirus isolates which are pathogenic to fishes in Japan, South China Sea and Southeast Asian countries",2002,,"Yes,  sequences and analysed DNA sequences encoding ATPase and MCP of iridovirus isolates from a range of fish species. In order to determine a taxonomical position of tropical iridovirus,  DNA sequences of ATPase and MCP were compared with the known nucleotide sequences of members in Ranavirus, Iridovirus and Lymphocystivirus.

Phylogeneic relationships were deduced using the neighbor joining distance using PAUP version 4.0b10. Analysis was done on deduced amino acid alignments o ftheATPase gene-encoding region and the MCP gene-encoding region of the iridovirus isolates and other viruses encompassed in the Family.  ","ThePCRproducts with the 2 primer sets for theATPase gene of DGIV and with 3 primer sets for the MCP gene ofall 5 isolates were EcoRI-HindIII double digested, and ligated with EcoRI-HindIII double digested plasmid vector pUC119. 

The recombinant plasmids were routinely isolated and manipulated. DNA sequencing was carried out using Thermo SequinaseTM cycle sequencing kit and a DNA sequencer, Model 4000L (Li-COR). For each PCR fragments, three to four clones were sequenced to verify replication error","Genbank:
Host: Epinephelus malabaricus
Geo Location: Thailand",,,
AY285746,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Grouper sleepy disease iridovirus,Not given,None given,Partial ,1362,MCP,"Samutsakhon Coastal Fisheries Research and Development Center, Department of Fisheries, Thailand",,Not given,Not given,10.1007/s00705-002-0883-6,Sudthongkong,"Viral DNA sequences of genes encoding the ATPase and the major capsid protein of tropical iridovirus isolates which are pathogenic to fishes in Japan, South China Sea and Southeast Asian countries",2002,,"Yes,  sequences and analysed DNA sequences encoding ATPase and MCP of iridovirus isolates from a range of fish species. In order to determine a taxonomical position of tropical iridovirus,  DNA sequences of ATPase and MCP were compared with the known nucleotide sequences of members in Ranavirus, Iridovirus and Lymphocystivirus.

Phylogeneic relationships were deduced using the neighbor joining distance using PAUP version 4.0b10. Analysis was done on deduced amino acid alignments o ftheATPase gene-encoding region and the MCP gene-encoding region of the iridovirus isolates and other viruses encompassed in the Family.  ","ThePCRproducts with the 2 primer sets for theATPase gene of DGIV and with 3 primer sets for the MCP gene ofall 5 isolates were EcoRI-HindIII double digested, and ligated with EcoRI-HindIII double digested plasmid vector pUC119. 

The recombinant plasmids were routinely isolated and manipulated. DNA sequencing was carried out using Thermo SequinaseTM cycle sequencing kit and a DNA sequencer, Model 4000L (Li-COR). For each PCR fragments, three to four clones were sequenced to verify replication error",No host or geographical location provided,,,
JF264207,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,KGIV_Pt_36_06,Partial ,720,ATPase ,"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Epinephelus lanceolatus,28/06/1905,10.1007/s00705-011-1017-9,Huang,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Host: Epinephelus lanceolatus
Geo Location: Taiwan
Collection Date: 2006",,,
JF264211,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,KGIV_Pt_48_06,Partial ,720,ATPase ,"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Epinephelus lanceolatus,28/06/1905,10.1007/s00705-011-1017-9,Huang,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Host: Epinephelus lanceolatus
Geo Location: Taiwan
Collection Date: 2006",,,
JF264215,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,KGIV_Pt_96_06,Partial ,720,ATPase ,"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Epinephelus lanceolatus,28/06/1905,10.1007/s00705-011-1017-9,Huang,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Host: Epinephelus lanceolatus
Geo Location: Taiwan
Collection Date: 2006",,,
JF264219,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,KGIV_Pt_1241_01,Partial ,972,ATPase ,"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Epinephelus lanceolatus,23/06/1905,10.1007/s00705-011-1017-9,Huang,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Host: Epinephelus lanceolatus
Geo Location: Taiwan
Collection Date: 2001",,,
JF264220,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,"	KGIV_Tn_337_04",Partial ,972,ATPase ,"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Epinephelus lanceolatus,26/06/1905,10.1007/s00705-011-1017-9,Huang,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Host: Epinephelus lanceolatus
Geo Location: Taiwan
Collection Date: 2004",,,
JF264223,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,KGIV_Pt_1348_01,Partial ,972,ATPase ,"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Epinephelus lanceolatus,23/06/1905,10.1007/s00705-011-1017-9,Huang,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Host: Epinephelus lanceolatus
Geo Location: Taiwan
Collection Date: 2004",,,
JF264226,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,KGIV_Cy_346_04,Partial ,972,ATPase ,"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Epinephelus lanceolatus,26/06/1905,10.1007/s00705-011-1017-9,Huang,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Host: Epinephelus lanceolatus
Geo Location: Taiwan
Collection Date: 2004",,,
JF264227,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,KGIV_Pt_1691_01,Partial ,972,ATPase ,"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Epinephelus lanceolatus,23/06/1905,10.1007/s00705-011-1017-9,Huang,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Host: Epinephelus lanceolatus
Geo Location: Taiwan
Collection Date: 2001",,,
JF264347,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,KGIV_Pt_36_06,Partial ,1362,MCP,"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Epinephelus lanceolatus,28/06/1905,10.1007/s00705-011-1017-9,Huang,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Host: Epinephelus lanceolatus
Geo Location: Taiwan
Collection Date: 2006",,,
JF264351,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,"	KGIV_Pt_48_06",Partial ,1362,MCP,"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Epinephelus lanceolatus,28/06/1905,10.1007/s00705-011-1017-9,Huang,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Host: Epinephelus lanceolatus
Geo Location: Taiwan
Collection Date: 2006",,,
JF264355,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,KGIV_Pt_96_06,Partial ,1362,MCP,"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Epinephelus lanceolatus,28/06/1905,10.1007/s00705-011-1017-9,Huang,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Host: Epinephelus lanceolatus
Geo Location: Taiwan
Collection Date: 2006",,,
JF264359,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,KGIV_Pt_1241_01,Partial ,1392,MCP,"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Epinephelus lanceolatus,23/06/1905,10.1007/s00705-011-1017-9,Huang,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Host: Epinephelus lanceolatus
Geo Location: Taiwan
Collection Date: 2001",,,
JF264360,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,KGIV_Tn_337_04,Partial ,1392,MCP,"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Epinephelus lanceolatus,26/06/1905,10.1007/s00705-011-1017-9,Huang,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Host: Epinephelus lanceolatus
Geo Location: Taiwan
Collection Date: 2004",,,
JF264363,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,KGIV_Pt_1348_01,Partial ,1392,MCP,"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Epinephelus lanceolatus,23/06/1905,10.1007/s00705-011-1017-9,Huang,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Host: Epinephelus lanceolatus
Geo Location: Taiwan
Collection Date: 2001",,,
JF264366,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,KGIV_Cy_346_04,Partial ,1392,MCP,"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Epinephelus lanceolatus,26/06/1905,10.1007/s00705-011-1017-9,Huang,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Host: Epinephelus lanceolatus
Geo Location: Taiwan
Collection Date: 2004",,,
JF264367,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given, KGIV_Pt_1691_01,Partial ,1392,MCP,"Animal Health Research Institute, Biology Division, Taiwan",Taiwan,Epinephelus lanceolatus,23/06/1905,10.1007/s00705-011-1017-9,Huang,Genetic analysis of fish iridoviruses isolated in Taiwan during 2001-2009,2011,,"Yes - Nucleotide and amino acid sequences were analyzed using the BioEdit 7.0.4 software. Multiple sequences were aligned using the ClustalW program. Phylogenetic relationships among species were determined using the neighbor-joining (NJ) method, and the reliability of the NJ tree was inferred using the Felsenstein bootstrap method with 1000 replications. 
"," The PCR products were cloned into the pGEM-T vector (Promega) and sequenced using an ABI PRISM 377 DNA sequencer with the BigDye Terminator Kit (Applied Biosystems, Inc.). Several independent PCR clones (6-8 clones) were analyzed to produce a consensus nucleotide sequence for each virus isolate.","From Genbank:
Host: Epinephelus lanceolatus
Geo Location: Taiwan
Collection Date: 2001",,,
EU847414,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,KGIV-05,Partial ,1581,MCP,"National University of Kaohsiung, Life Science",Taiwan,Epinephelus lanceolatus,27/06/1905,10.1111/j.1365-2761.2009.01043.x,Wang,PCR amplification and sequence analysis of the major capsid protein gene of megalocytiviruses isolated in Taiwan,2009,,"Yes - the complete MCP genes of the megalocytiviruses were amplified by PCR.The amplified products were sequenced and compared with known megalocytiviruses to evaluate the genetic variation of the viruses. Their phylogenetic relationships with other iridovirus isolates were also investigated.

Nucleotide sequence analyses of the MCP gene from the different megalocytivirus isolates were compared with other known isolates retrieved from the GenBank databases using BLAST and Clustal W. 

The phylogenetic analysis was performed using the neighbour-joining method as implemented in the phylogeny inference package (PHYLIP) version 3.76. Bootstrap analysis was performed using 1000 data resamplings.","The PCR products from diseased fish species were purified from agarose gels using a PCR clean-up system (Promega Corporation). The DNA fragments were individually ligated into pGEM-T Easy Vector (Promega Corporation) and transformed into Escherichia coli DH-5a. 

The recombinant plasmid DNA from the different clones was extracted separately, and automatic sequencing was performed commercially (Genomics BioSic & Tech Co., Ltd).

 Three clones from each viral MCP gene isolated from different fish species were sequenced to verify replication error.

Doesn't give technology used for sequencing.","From Genbank:
Host: Epinephelus lanceolatus
Geo Location: Taiwan
Collection Date: 2005",,,
EU847415,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,KGIV-07,Partial ,1581,MCP,"National University of Kaohsiung, Life Science",Taiwan,Epinephelus lanceolatus,29/06/1905,10.1111/j.1365-2761.2009.01043.x,Wang,PCR amplification and sequence analysis of the major capsid protein gene of megalocytiviruses isolated in Taiwan,2007,,"Yes - the complete MCP genes of the megalocytiviruses were amplified by PCR.The amplified products were sequenced and compared with known megalocytiviruses to evaluate the genetic variation of the viruses. Their phylogenetic relationships with other iridovirus isolates were also investigated.

Nucleotide sequence analyses of the MCP gene from the different megalocytivirus isolates were compared with other known isolates retrieved from the GenBank databases using BLAST and Clustal W. 

The phylogenetic analysis was performed using the neighbour-joining method as implemented in the phylogeny inference package (PHYLIP) version 3.76. Bootstrap analysis was performed using 1000 data resamplings.","The PCR products from diseased fish species were purified from agarose gels using a PCR clean-up system (Promega Corporation). The DNA fragments were individually ligated into pGEM-T Easy Vector (Promega Corporation) and transformed into Escherichia coli DH-5a. 

The recombinant plasmid DNA from the different clones was extracted separately, and automatic sequencing was performed commercially (Genomics BioSic & Tech Co., Ltd).

 Three clones from each viral MCP gene isolated from different fish species were sequenced to verify replication error.

Doesn't give technology used for sequencing.","Genbank:
Host: Epinephelus lanceolatus
Geographical Location: Taiwan
Collection Date: 2007",,,
EU117374,GenBank,Megalocytivirus,Megalocytivirus pagrus1,King grouper iridovirus,Not given,Taiwan',Partial ,1607,Myristylated membrane protein gene ,Life Science,None given,Epinephelus lanceolatus,Not given,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Submitters Names:
Wang,C.-S., Hsiao,M.-J., Huang,Y.-C., Ku,C.-C.
Nuc Completeness: partial
Host: Epinephelus lanceolatus",,,
AY633980,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Korean flounder iridovirus,LYCIV,FLIV-DS1,Partial ,1362,MCP,Korean flounder iridovirus,"University of Ulsan, Dept of Biological Sciences, Korea",None given,None given, doi:10.3354/dao064193,Do ,Phylogenetic analysis of the major capsid protein gene of iridovirus isolates from cultured flounders Paralichthys olivaceus in Korea,2005,,"Yes - The DNA and the deduced amino acid sequences were compared with the GenBank/EMBL databases using the basic local alignment search tool (BLAST). Sequences were aligned using CLUSTAL W, after which the phylogenetic tree was constructed with TreeView. 

The phylogenetic relationships among species were determined using the neighbor-joining method and the reliability of the NJ tree was inferred using the Felsenstein (1985) bootstrap method with 1000 replicates.","The amplified PCR products were cloned into a pGEM-T vector (Promega), and sequencing was performed at the Immunomodulation Research Center, Korea, on an automatic DNA sequencer (Applied Biosystems) according to the dye terminator procedure with forward and reverse primers and overlapping primers designed from the sequencing results.",None,,,
AY633981,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Korean flounder iridovirus,FLIV,FLIV-DS2,Partial ,1362,MCP,Korean flounder iridovirus,"University of Ulsan, Dept of Biological Sciences, Korea",None given,None given, doi:10.3354/dao064193,Do ,Phylogenetic analysis of the major capsid protein gene of iridovirus isolates from cultured flounders Paralichthys olivaceus in Korea,2005,,"Yes - The DNA and the deduced amino acid sequences were compared with the GenBank/EMBL databases using the basic local alignment search tool (BLAST). Sequences were aligned using CLUSTAL W, after which the phylogenetic tree was constructed with TreeView. 

The phylogenetic relationships among species were determined using the neighbor-joining method and the reliability of the NJ tree was inferred using the Felsenstein (1985) bootstrap method with 1000 replicates.","The amplified PCR products were cloned into a pGEM-T vector (Promega), and sequencing was performed at the Immunomodulation Research Center, Korea, on an automatic DNA sequencer (Applied Biosystems) according to the dye terminator procedure with forward and reverse primers and overlapping primers designed from the sequencing results.",None,,,
AY633982,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Korean flounder iridovirus,FLIV,FLIV-MI,Partial ,1362,MCP,Korean flounder iridovirus,"University of Ulsan, Dept of Biological Sciences, Korea",None given,None given, doi:10.3354/dao064193,Do ,Phylogenetic analysis of the major capsid protein gene of iridovirus isolates from cultured flounders Paralichthys olivaceus in Korea,2005,,"Yes - The DNA and the deduced amino acid sequences were compared with the GenBank/EMBL databases using the basic local alignment search tool (BLAST). Sequences were aligned using CLUSTAL W, after which the phylogenetic tree was constructed with TreeView. 

The phylogenetic relationships among species were determined using the neighbor-joining method and the reliability of the NJ tree was inferred using the Felsenstein (1985) bootstrap method with 1000 replicates.","The amplified PCR products were cloned into a pGEM-T vector (Promega), and sequencing was performed at the Immunomodulation Research Center, Korea, on an automatic DNA sequencer (Applied Biosystems) according to the dye terminator procedure with forward and reverse primers and overlapping primers designed from the sequencing results.",None,,,
AY633983,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Korean flounder iridovirus,FLIV,FLIV-SS,Partial ,1362,MCP,Korean flounder iridovirus,"University of Ulsan, Dept of Biological Sciences, Korea",None given,None given, doi:10.3354/dao064193,Do ,Phylogenetic analysis of the major capsid protein gene of iridovirus isolates from cultured flounders Paralichthys olivaceus in Korea,2005,,"Yes - The DNA and the deduced amino acid sequences were compared with the GenBank/EMBL databases using the basic local alignment search tool (BLAST). Sequences were aligned using CLUSTAL W, after which the phylogenetic tree was constructed with TreeView. 

The phylogenetic relationships among species were determined using the neighbor-joining method and the reliability of the NJ tree was inferred using the Felsenstein (1985) bootstrap method with 1000 replicates.","The amplified PCR products were cloned into a pGEM-T vector (Promega), and sequencing was performed at the Immunomodulation Research Center, Korea, on an automatic DNA sequencer (Applied Biosystems) according to the dye terminator procedure with forward and reverse primers and overlapping primers designed from the sequencing results.",None,,,
AY633984,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Korean flounder iridovirus,FLIV,FLIV-YG,Partial ,1362,MCP,Korean flounder iridovirus,"University of Ulsan, Dept of Biological Sciences, Korea",None given,None given, doi:10.3354/dao064193,Do ,Phylogenetic analysis of the major capsid protein gene of iridovirus isolates from cultured flounders Paralichthys olivaceus in Korea,2005,,"Yes - The DNA and the deduced amino acid sequences were compared with the GenBank/EMBL databases using the basic local alignment search tool (BLAST). Sequences were aligned using CLUSTAL W, after which the phylogenetic tree was constructed with TreeView. 

The phylogenetic relationships among species were determined using the neighbor-joining method and the reliability of the NJ tree was inferred using the Felsenstein (1985) bootstrap method with 1000 replicates.","The amplified PCR products were cloned into a pGEM-T vector (Promega), and sequencing was performed at the Immunomodulation Research Center, Korea, on an automatic DNA sequencer (Applied Biosystems) according to the dye terminator procedure with forward and reverse primers and overlapping primers designed from the sequencing results.",None,,,
