Accession,Genus,Species,Genotype,Organism name,Length ,Sample location ,Host,Year,RSIV_sequence_similarity,ISKNV_sequence_similarity,TRBIV_sequence_similarity,SDDV_sequence_similarity,TSIV
NC_027778,Megalocytivirus,Megalocytivirus lates1,SDDV,Scale drop disease virus,124244,Singapore,Lates calcarifer,2010,<80,<80,<80,99.93,<80
OK042108,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Red sea bream iridovirus,112360,South Korea: Tongyeong,unknown,2017,98.32,92.27,92.14,<80,<80
OK042109,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Red sea bream iridovirus,112235,South Korea: Goseong,Rock bream (Oplegnathus fasciatus),2017,99.49,92.17,92.37,<80,<80
OL310752,Megalocytivirus,Unclassified ,RSIV,Small yellow croaker iridovirus,110560,China,Larimichthys polyactis,2021,96.61,91.7,92.02,<80,<80
OL774653,Megalocytivirus,Megalocytivirus pagrus1,RSIV,large yellow croaker iridovirus ,111854,China: Zhoushan,Larimichthys crocea,2020,97.08,92.19,92.51,<80,<80
OL774654,Megalocytivirus,Megalocytivirus pagrus1,RSIV,large yellow croaker iridovirus ,112041,China: Zhoushan,Unknown,2020,97.11,92.17,92.53,<80,<80
OL774655,Megalocytivirus,Megalocytivirus pagrus1,RSIV,large yellow croaker iridovirus ,112362,China: Zhoushan,Larimichthys crocea,2020,97.1,92.36,92.51,<80,<80
OM037668,Megalocytivirus,Megalocytivirus lates1,SDDV,Scale drop disease virus,131122,China,Acanthopagrus latus,2020,<80,<80,<80,100,<80
ON075463,Megalocytivirus,Megalocytivirus pagrus1,RSIV,RSIV-type megalocytivirus isolate' or 'Spotted knifejaw iridovirus' in Genbank,112489,China: Tianjin,Oplegnathus punctatus,2019,99.89,92.38,91.75,<80,<80
ON740976,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Red sea bream iridovirus,112158,China,Lateolabrax japonicus,2020,98.4,92.5,92.14,<80,<80
ON743042,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Red sea bream iridovirus,111876,China,Lateolabrax japonicus,2020,98.76,92.22,91.72,<80,<80
OP009387,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Largemouth bass ulcerative syndrome virus,112248,China,Unknown,Unknown,92.41,98.61,91.88,<80,<80
OQ475017,Megalocytivirus,Unclassified ,RSIV,Megalocytivirus FD201807,112214,China,Larimichthys crocea,2018,96.85,92.28,92.35,<80,<80
MW883598,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Red seabream iridovirus,112717,Indonesia,Epinephelus fuscoguttatus x Epinephelus polyphekadion,2014,99.78,92.7,91.86,<80,<80
KC138895,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Red seabream iridovirus,903,Taiwan,Lates calcarifer,2007,N/A,N/A,N/A,N/A,N/A
PP151097,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,112236,China,Lates calcarifer,2023,92.45,99,71.76,<80,75.36
ON212400,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111837,Brazil,Tilapia,2020,92.27,99.96,91.8,<80,76.35
OR670976,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111831,Ghana,Tilapia,2019,92.3,99.89,91.82,<80,76.09
MW883595,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111666,Indonesia,Banggai cardinalfish (Pterapogon kauderni),2015,92.37,98.22,92.03,<80,<80
MT128667,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111610,Thailand,Barramundi (Lates calcarifer),2018,92.43,99.96,91.76,<80,76.18
MW883606,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111609,Indonesia,Giant gourami (Osphronemus goramy),2018,92.14,99.96,91.8,<80,<80
MT128666,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111487,Thailand,Barramundi (Lates calcarifer),2018,92.21,99.96,91.83,<80,76.53
MW273354,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111380,USA,Rainbow shark (Epalzeorhynchos frenatum),2019,92.81,99.96,91.78,<80,<80
MW273353,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111369,USA,Rainbow shark (Epalzeorhynchos frenatum),2018,92.24,99.95,91.87,<80,<80
NC_003494,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111362,China,Mandarin fish (Siniperca chuatsi),1998,92.2,100,91.87,<80,<80
OQ513807,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111362,Ghana,Tilapia (Oreochromis niloticus),2019,92.15,99.88,91.86,<80,<80
MW883599,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111351,Thailand,The three spot gourami (Trichopodus trichopterus),2015,92.19,99.96,91.89,<80,<80
OP896201,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111315,China,Mandarin fish (Siniperca chuatsi),2005,92.21,99.97,91.89,<80,<80
OR356116,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111315,China,Mandarin fish (Siniperca chuatsi),2021,92.22,99.97,92,<80,<80
MW883593,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111309,Indonesia,Not given,2011,92.22,99.98,91.91,<80,<80
KT781098,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111154,Taiwan,Red seabream (Pagrus major),2007,92.95,99.41,91.87,<80,75.98
MW883603,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111138,Indonesia,Epinephelus fuscoguttatus x Epinephelus polyphekadion,2015,92.19,99.95,91.85,<80,76.2
MW883596,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111039,Indonesia,Epinephelus fuscoguttatus x Epinephelus polyphekadion,2014,92.24,99.96,91.87,<80,76.2
MW883597,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111039,Indonesia,Epinephelus fuscoguttatus x Epinephelus polyphekadion,2014,92.24,99.96,91.87,<80,76.2
MW883601,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111014,Thailand,Dwarf gourmani (Trichogaster lalius),2015,92.26,99.95,91.89,<80,76.19
MW883602,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,110962,Sri Lanka,Southern platysfish (Xiphophorus maculatus),2015,92.1,99.95,91.93,<80,<80
MW883600,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,110894,Malaysia,Green swordtail (Xiphophorus hellerii),2015,92.17,99.94,91.95,<80,<80
PP974677,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,110699,China,Giant groper (Epinephelus lanceolatus),2014,92.39,98.77,91.94,<80,<81
OR536350,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,110460,India,Angelfish (Pterophyllum scalare),2022,92.3,99.89,91.81,<80,75.95
MW883594,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,110394,Thailand,Blue gourami (Trichopodus trichopterus),2011,92.24,99.93,91.87,<80,<80
AB104413,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Red seabream iridovirus,112415,Japan,Spiridae,Unknown,96.87,92.18,91.65,<80,<80
AP017456,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Red seabream iridovirus,112590,Japan,Pagrus mahor,2012,99.97,92.16,91.53,<80,<80
PQ335173_PQ335174,Megalocytivirus,Unclassified ,TSIV,Threespine stickleback iridovirus,115123,USA,Threespine stickleback (Gasterosteus aculeatus),2012,<80,<80,75.91,<80,100
23043610003,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111083,Australia,Swordtail (Xiphophorus helleri) ,2023,92.34,99.88,91.91,<80,<80
23043610005,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,110927,Australia,Platys (Xiphophorus maculatus),2023,92.14,99.92,91.69,<80,<80
HF920633,Chloriridovirus,Chloriridovirus simulium1,n/a,Invertebrate iridovirus 22,204815,Unknown,Unknown,Unknown,<80,<80,<80,<80,<80
KF938901,Chloriridovirus,Chloriridovirus anopheles1,n/a,Anopheles minimus iridovirus,163023,China: Yunnan,Anopheles minimus,2007,<80,<80,<80,<80,<80
LS484712,Daphniairidovirus,Daphniairidovirus daphnia1,n/a,Daphnia iridescent virus 1,288858,Unknown,Unknown,Unknown,<80,<80,<80,<80,<80
MF599468,Decapod-iridovirus,Decapodiridovirus litopenaeus1,n/a,Shrimp hemocyte iridescent virus,165809,China,Penaeus,2014,<80,<80,<80,<80,<80
AF303741,Iridovirus,Iridovirus chilo1,n/a,Invertebrate iridescent virus 6,212482,Unknown,Unknown,Unknown,<80,<80,<80,<80,<80
HF920637,Iridovirus,Iridovirus armadillidium1,n/a,Armadillidium vulgare iridescent virus,220222,Unknown,Unknown,Unknown,<80,<80,<80,<80,<80
L63545,Lymphocytivirus,Lymphocystivirus platichthys1,n/a,lymphocystis disease virus 1,102653,Unknown,Unknown,Unknown,<80,<80,<80,<80,<80
MN803438,Lymphocytivirus,Lymphocystivirus micropogonias1,n/a,lymphocystis disease virus 4,"211086	",Uruguay,Micropogonias furnieri,2015,<80,<80,<80,<80,<80
KX643370,Lymphocytivirus,Lymphocystivirus sparus1,n/a,Sparus aurata papillomavirus 1 (SaPV1) (From paper),208501,Spain,Sparus aurata,2001,<80,<80,<80,<80,<80
AY521625,Ranavirus,Ranavirus epinephelus1,n/a,Singapore grouper iridovirus,140131,Unknown,Unknown,"Unknown""	",<80,<80,<80,<80,<80
NC_005946,Ranavirus,Ranavirus rana1,n/a,Frog Virus 3,105903,Unknown,Lithobates pipiens,Unknown ,<80,<80,<80,<80,<80
