Orthogroup	OM037668.1	MT521409.1
OG0000147	OM037668.1_00071	MT521409.1_00067
OG0000151	OM037668.1_00001	MT521409.1_00137
OG0000161	OM037668.1_00036	MT521409.1_00102
OG0000164	OM037668.1_00022	MT521409.1_00116
OG0000173	OM037668.1_00023	MT521409.1_00115
OG0000211	OM037668.1_00017	MT521409.1_00121
OG0000212	OM037668.1_00088	MT521409.1_00049
OG0000213	OM037668.1_00063	MT521409.1_00075
OG0000242	OM037668.1_00129	MT521409.1_00006
OG0000243	OM037668.1_00114	MT521409.1_00022
OG0000244	OM037668.1_00112	MT521409.1_00025
OG0000245	OM037668.1_00111	MT521409.1_00026
OG0000246	OM037668.1_00109	MT521409.1_00028
OG0000247	OM037668.1_00108	MT521409.1_00029
OG0000248	OM037668.1_00107	MT521409.1_00030
OG0000249	OM037668.1_00104	MT521409.1_00033
OG0000250	OM037668.1_00103	MT521409.1_00034
OG0000251	OM037668.1_00102	MT521409.1_00035
OG0000252	OM037668.1_00094	MT521409.1_00043
OG0000253	OM037668.1_00093	MT521409.1_00044
OG0000254	OM037668.1_00092	MT521409.1_00045
OG0000255	OM037668.1_00072	MT521409.1_00066
OG0000256	OM037668.1_00070	MT521409.1_00068
OG0000257	OM037668.1_00069	MT521409.1_00069
OG0000258	OM037668.1_00065	MT521409.1_00073
OG0000259	OM037668.1_00061	MT521409.1_00077
OG0000260	OM037668.1_00060	MT521409.1_00078
OG0000261	OM037668.1_00059	MT521409.1_00079
OG0000262	OM037668.1_00058	MT521409.1_00080
OG0000263	OM037668.1_00055	MT521409.1_00083
OG0000264	OM037668.1_00052	MT521409.1_00086
OG0000265	OM037668.1_00049	MT521409.1_00089
OG0000266	OM037668.1_00044	MT521409.1_00094
OG0000267	OM037668.1_00039	MT521409.1_00099
OG0000268	OM037668.1_00037	MT521409.1_00101
OG0000269	OM037668.1_00034	MT521409.1_00104
OG0000270	OM037668.1_00029	MT521409.1_00109
OG0000271	OM037668.1_00027	MT521409.1_00111
OG0000272	OM037668.1_00026	MT521409.1_00112
OG0000273	OM037668.1_00025	MT521409.1_00113
OG0000274	OM037668.1_00016	MT521409.1_00122
OG0000275	OM037668.1_00014	MT521409.1_00124
OG0000276	OM037668.1_00012	MT521409.1_00126
OG0000277	OM037668.1_00010	MT521409.1_00128
OG0000278	OM037668.1_00008	MT521409.1_00130
OG0000279	OM037668.1_00007	MT521409.1_00131
OG0000280	OM037668.1_00002	MT521409.1_00136
OG0000302	OM037668.1_00120	MT521409.1_00015
OG0000303	OM037668.1_00119	MT521409.1_00016
OG0000304	OM037668.1_00118	MT521409.1_00017
OG0000305	OM037668.1_00117	MT521409.1_00018
OG0000306	OM037668.1_00116	MT521409.1_00019
OG0000307	OM037668.1_00115	MT521409.1_00020
