Orthogroup	KX643370	MN803438
OG0000028	Lymph_LDV3_KX643370_00096 hypothetical protein	MN803438.1_00054 hypothetical protein
OG0000119	Lymph_LDV3_KX643370_00009 hypothetical protein, Lymph_LDV3_KX643370_00017 hypothetical protein	MN803438.1_00082 hypothetical protein
OG0000125	Lymph_LDV3_KX643370_00108 hypothetical protein	MN803438.1_00107 hypothetical protein
OG0000125	Lymph_LDV3_KX643370_00132 hypothetical protein	MN803438.1_00125 hypothetical protein
OG0000125	Lymph_LDV3_KX643370_00076 hypothetical protein	MN803438.1_00094 hypothetical protein
OG0000125	Lymph_LDV3_KX643370_00133 hypothetical protein	MN803438.1_00112 hypothetical protein
OG0000125	Lymph_LDV3_KX643370_00079 hypothetical protein	MN803438.1_00021 hypothetical protein
OG0000125	Lymph_LDV3_KX643370_00125 hypothetical protein	MN803438.1_00120 hypothetical protein
OG0000125	Lymph_LDV3_KX643370_00048 hypothetical protein	MN803438.1_00012 hypothetical protein
OG0000132	Lymph_LDV3_KX643370_00121 hypothetical protein	MN803438.1_00115 hypothetical protein
OG0000133	Lymph_LDV3_KX643370_00041 Serine proteinase inhibitor 2	MN803438.1_00022 Serine proteinase inhibitor 2
OG0000135	Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit	MN803438.1_00105 Ribonucleoside-diphosphate reductase large subunit
OG0000136	Lymph_LDV3_KX643370_00145 hypothetical protein	MN803438.1_00137 hypothetical protein
OG0000137	Lymph_LDV3_KX643370_00042 Thymidylate synthase	MN803438.1_00005 Thymidylate synthase
OG0000138	Lymph_LDV3_KX643370_00100 hypothetical protein	MN803438.1_00096 hypothetical protein
OG0000138	Lymph_LDV3_KX643370_00012 hypothetical protein	MN803438.1_00011 hypothetical protein
OG0000143	Lymph_LDV3_KX643370_00043 hypothetical protein	MN803438.1_00006 hypothetical protein
OG0000147	Lymph_LDV3_KX643370_00140 hypothetical protein	MN803438.1_00135 hypothetical protein
OG0000149	Lymph_LDV3_KX643370_00047 hypothetical protein	MN803438.1_00010 hypothetical protein
OG0000151	Lymph_LDV3_KX643370_00149 hypothetical protein	MN803438.1_00003 hypothetical protein
OG0000154	Lymph_LDV3_KX643370_00090 hypothetical protein	MN803438.1_00078 hypothetical protein
OG0000173	Lymph_LDV3_KX643370_00060 hypothetical protein	MN803438.1_00028 hypothetical protein
OG0000174	Lymph_LDV3_KX643370_00059 hypothetical protein	MN803438.1_00030 hypothetical protein
OG0000175	Lymph_LDV3_KX643370_00080 hypothetical protein	MN803438.1_00092 hypothetical protein
OG0000199	Lymph_LDV3_KX643370_00021 hypothetical protein	MN803438.1_00044 hypothetical protein
OG0000201	Lymph_LDV3_KX643370_00064 hypothetical protein, Lymph_LDV3_KX643370_00014 hypothetical protein, Lymph_LDV3_KX643370_00128 hypothetical protein	MN803438.1_00121 hypothetical protein
OG0000202	Lymph_LDV3_KX643370_00020 hypothetical protein	MN803438.1_00045 hypothetical protein
OG0000203	Lymph_LDV3_KX643370_00114 hypothetical protein	MN803438.1_00130 hypothetical protein
OG0000224	Lymph_LDV3_KX643370_00106 hypothetical protein	MN803438.1_00110 hypothetical protein
OG0000225	Lymph_LDV3_KX643370_00005 hypothetical protein	MN803438.1_00140 hypothetical protein
OG0000226	Lymph_LDV3_KX643370_00046 hypothetical protein	MN803438.1_00008 hypothetical protein
OG0000227	Lymph_LDV3_KX643370_00054 hypothetical protein	MN803438.1_00026 hypothetical protein
OG0000228	Lymph_LDV3_KX643370_00146 hypothetical protein	MN803438.1_00136 hypothetical protein
OG0000229	Lymph_LDV3_KX643370_00102 hypothetical protein	MN803438.1_00099 hypothetical protein
OG0000230	Lymph_LDV3_KX643370_00019 hypothetical protein	MN803438.1_00081 G-protein coupled receptor US28
OG0000230	Lymph_LDV3_KX643370_00024 G-protein coupled receptor US28	MN803438.1_00039 G-protein coupled receptor US28
OG0000231	Lymph_LDV3_KX643370_00035 hypothetical protein	MN803438.1_00050 hypothetical protein
OG0000231	Lymph_LDV3_KX643370_00071 hypothetical protein	MN803438.1_00061 hypothetical protein
OG0000232	Lymph_LDV3_KX643370_00142 hypothetical protein	MN803438.1_00133 hypothetical protein
OG0000232	Lymph_LDV3_KX643370_00062 hypothetical protein	MN803438.1_00072 hypothetical protein
OG0000233	Lymph_LDV3_KX643370_00084 hypothetical protein	MN803438.1_00087 hypothetical protein
OG0000233	Lymph_LDV3_KX643370_00074 hypothetical protein	MN803438.1_00058 hypothetical protein
OG0000268	Lymph_LDV3_KX643370_00148 hypothetical protein	MN803438.1_00004 hypothetical protein
OG0000274	Lymph_LDV3_KX643370_00045 hypothetical protein, Lymph_LDV3_KX643370_00087 hypothetical protein	MN803438.1_00075 hypothetical protein
OG0000275	Lymph_LDV3_KX643370_00105 hypothetical protein	MN803438.1_00103 hypothetical protein, MN803438.1_00053 hypothetical protein
OG0000393	Lymph_LDV3_KX643370_00002 hypothetical protein	MN803438.1_00144 hypothetical protein
OG0000394	Lymph_LDV3_KX643370_00003 hypothetical protein	MN803438.1_00143 hypothetical protein
OG0000395	Lymph_LDV3_KX643370_00006 hypothetical protein	MN803438.1_00139 hypothetical protein
OG0000396	Lymph_LDV3_KX643370_00007 hypothetical protein	MN803438.1_00018 hypothetical protein
OG0000397	Lymph_LDV3_KX643370_00008 hypothetical protein	MN803438.1_00019 hypothetical protein
OG0000398	Lymph_LDV3_KX643370_00010 hypothetical protein	MN803438.1_00020 hypothetical protein
OG0000399	Lymph_LDV3_KX643370_00011 hypothetical protein	MN803438.1_00014 hypothetical protein
OG0000400	Lymph_LDV3_KX643370_00013 hypothetical protein	MN803438.1_00036 hypothetical protein
OG0000401	Lymph_LDV3_KX643370_00016 hypothetical protein	MN803438.1_00038 hypothetical protein
OG0000402	Lymph_LDV3_KX643370_00018 hypothetical protein	MN803438.1_00015 hypothetical protein
OG0000403	Lymph_LDV3_KX643370_00022 hypothetical protein	MN803438.1_00042 hypothetical protein
OG0000404	Lymph_LDV3_KX643370_00023 hypothetical protein	MN803438.1_00043 hypothetical protein
OG0000405	Lymph_LDV3_KX643370_00026 hypothetical protein	MN803438.1_00040 hypothetical protein
OG0000406	Lymph_LDV3_KX643370_00027 hypothetical protein	MN803438.1_00041 hypothetical protein
OG0000407	Lymph_LDV3_KX643370_00029 hypothetical protein	MN803438.1_00080 hypothetical protein
OG0000408	Lymph_LDV3_KX643370_00030 hypothetical protein	MN803438.1_00079 hypothetical protein
OG0000409	Lymph_LDV3_KX643370_00031 hypothetical protein	MN803438.1_00083 hypothetical protein
OG0000410	Lymph_LDV3_KX643370_00032 hypothetical protein	MN803438.1_00085 hypothetical protein
OG0000411	Lymph_LDV3_KX643370_00034 hypothetical protein	MN803438.1_00031 hypothetical protein
OG0000412	Lymph_LDV3_KX643370_00036 hypothetical protein	MN803438.1_00032 hypothetical protein
OG0000413	Lymph_LDV3_KX643370_00038 hypothetical protein	MN803438.1_00033 hypothetical protein
OG0000414	Lymph_LDV3_KX643370_00039 hypothetical protein	MN803438.1_00034 hypothetical protein
OG0000415	Lymph_LDV3_KX643370_00050 hypothetical protein	MN803438.1_00016 hypothetical protein
OG0000416	Lymph_LDV3_KX643370_00053 hypothetical protein	MN803438.1_00025 hypothetical protein
OG0000417	Lymph_LDV3_KX643370_00058 hypothetical protein	MN803438.1_00069 hypothetical protein
OG0000418	Lymph_LDV3_KX643370_00063 hypothetical protein	MN803438.1_00073 hypothetical protein
OG0000419	Lymph_LDV3_KX643370_00065 hypothetical protein	MN803438.1_00067 hypothetical protein
OG0000420	Lymph_LDV3_KX643370_00066 hypothetical protein	MN803438.1_00065 hypothetical protein
OG0000421	Lymph_LDV3_KX643370_00067 hypothetical protein	MN803438.1_00064 hypothetical protein
OG0000422	Lymph_LDV3_KX643370_00068 hypothetical protein	MN803438.1_00063 hypothetical protein
OG0000423	Lymph_LDV3_KX643370_00069 hypothetical protein	MN803438.1_00062 hypothetical protein
OG0000424	Lymph_LDV3_KX643370_00072 hypothetical protein	MN803438.1_00060 hypothetical protein
OG0000425	Lymph_LDV3_KX643370_00073 hypothetical protein	MN803438.1_00059 hypothetical protein
OG0000426	Lymph_LDV3_KX643370_00078 hypothetical protein	MN803438.1_00088 hypothetical protein
OG0000427	Lymph_LDV3_KX643370_00081 hypothetical protein	MN803438.1_00091 hypothetical protein
OG0000428	Lymph_LDV3_KX643370_00082 hypothetical protein	MN803438.1_00090 hypothetical protein
OG0000429	Lymph_LDV3_KX643370_00083 hypothetical protein	MN803438.1_00093 hypothetical protein
OG0000430	Lymph_LDV3_KX643370_00086 hypothetical protein	MN803438.1_00086 hypothetical protein
OG0000431	Lymph_LDV3_KX643370_00088 hypothetical protein	MN803438.1_00076 hypothetical protein
OG0000432	Lymph_LDV3_KX643370_00092 hypothetical protein	MN803438.1_00047 hypothetical protein
OG0000433	Lymph_LDV3_KX643370_00093 hypothetical protein	MN803438.1_00048 hypothetical protein
OG0000434	Lymph_LDV3_KX643370_00097 hypothetical protein	MN803438.1_00057 hypothetical protein
OG0000435	Lymph_LDV3_KX643370_00099 hypothetical protein	MN803438.1_00095 hypothetical protein
OG0000436	Lymph_LDV3_KX643370_00101 hypothetical protein	MN803438.1_00098 hypothetical protein
OG0000437	Lymph_LDV3_KX643370_00104 hypothetical protein	MN803438.1_00102 hypothetical protein
OG0000438	Lymph_LDV3_KX643370_00112 hypothetical protein	MN803438.1_00132 hypothetical protein
OG0000439	Lymph_LDV3_KX643370_00113 hypothetical protein	MN803438.1_00131 hypothetical protein
OG0000440	Lymph_LDV3_KX643370_00116 hypothetical protein	MN803438.1_00129 hypothetical protein
OG0000441	Lymph_LDV3_KX643370_00118 hypothetical protein	MN803438.1_00127 hypothetical protein
OG0000442	Lymph_LDV3_KX643370_00122 hypothetical protein	MN803438.1_00114 hypothetical protein
OG0000443	Lymph_LDV3_KX643370_00123 hypothetical protein	MN803438.1_00116 hypothetical protein
OG0000444	Lymph_LDV3_KX643370_00124 hypothetical protein	MN803438.1_00119 hypothetical protein
OG0000445	Lymph_LDV3_KX643370_00127 hypothetical protein	MN803438.1_00118 hypothetical protein
OG0000446	Lymph_LDV3_KX643370_00129 hypothetical protein	MN803438.1_00123 hypothetical protein
OG0000447	Lymph_LDV3_KX643370_00134 hypothetical protein	MN803438.1_00111 hypothetical protein
OG0000448	Lymph_LDV3_KX643370_00141 hypothetical protein	MN803438.1_00134 hypothetical protein
OG0000449	Lymph_LDV3_KX643370_00147 hypothetical protein	MN803438.1_00141 hypothetical protein
OG0000450	Lymph_LDV3_KX643370_00150 hypothetical protein	MN803438.1_00002 hypothetical protein
OG0000451	Lymph_LDV3_KX643370_00152 hypothetical protein	MN803438.1_00001 hypothetical protein
